poem_title,poem_text,author,form
As a decrepit father takes delight (Sonnet 37),"As a decrepit father takes delight
To see his active child do deeds of youth,
So I, made lame by fortune’s dearest spite,
Take all my comfort of thy worth and truth.
For whether beauty, birth, or wealth, or wit,
Or any of these all, or all, or more,
Entitled in thy parts do crowned sit,
I make my love engrafted to this store:
So then I am not lame, poor, nor despised,
Whilst that this shadows doth such substance give
That I in thy abundance am sufficed
And by a part of all thy glory live.
    Look, what is best, that best I wish in thee:
    This wish I have; then ten times happy me!",William Shakespeare,sonnet
Let me confess that we two must be twain. (Sonnet 36),"Let me confess that we two must be twain.
Although our undivided loves are one:
So shall those blots that do with me remain
Without thy help by me be borne alone.
In our two loves there is but one respect,
Though in our lives a separable spite,
Which though it alter not love’s sole effect,
Yet doth it steal sweet hours from love’s delight.
I may not evermore acknowledge thee,
Lest my bewailed guilt should do thee shame,
Not thou with public kindness honour me,
Unless thou take that honour from thy name:
    But do not so; I love thee in such sort
    As, thou being mine, mine is thy good report.",William Shakespeare,sonnet
No more be grieved at that which thou hast done: (Sonnet 35),"No more be grieved at that which thou hast done:
Roses have thorns, and silver fountains mud;
Clouds and eclipses stain both moon and sun,
And loathsome canker lives in sweetest bud.
All men make faults, and even I in this,
Authorizing thy trespass with compare,
Myself corrupting, salving thy amiss,
Excusing thy sins more than thy sins are;
For to thy sensual fault I bring in sense—
Thy adverse party is thy advocate—
And ’gainst myself a lawful plea commence:
Such civil war is in my love and hate
    That I an accessary needs must be
    To that sweet thief which sourly robs from me.",William Shakespeare,sonnet
Why didst thou promise such a beauteous day (Sonnet 34),"Why didst thou promise such a beauteous day
And make me travel forth without my cloak,
To let base clouds o’ertake me in my way,
Hiding thy bravery in their rotten smoke?
’Tis not enough that through the cloud thou break,
To dry the rain on my storm-beaten face,
For no man well of such a salve can speak
That heals the wound and cures not the disgrace:
Nor can thy shame give physic to my grief;
Though thou repent, yet I have still the loss:
The offender’s sorrow lends by weak relief
To him that bears the strong offence’s cross.
    Ah! but those tears are pearl which thy love sheds,
    And they are rich and ransom all ill deeds.",William Shakespeare,sonnet
If thou survive my well-contended day (Sonnet 32),"If thou survive my well-contended day,
When that churl Death my bones with dust shall cover,
And shalt by fortune once more re-survey
These poor rude lines of thy deceased lover,
Compare them with the bettering of the time,
And though they be outstipp’d by every pen,
Reserve them for my love, not for their rhyme,
Exceeded by the height of happier men.
O, then vouchsafe me but this loving thought:
‘Had my friend’s Muse grown with this growing age,
A dearer birth than this his love had brought,
To march in ranks of better equipage:
    But since he died and poets better prove,
    Theirs for their style I’ll read, his for his love.’",William Shakespeare,sonnet
Thy bosom is endeared with all hearts (Sonnet 31),"Thy bosom is endeared with all hearts,
Which I by lacking have supposed dead,
And there reigns love and all love’s loving parts,
And all those friends which I thought buried.
How many a holy and obsequious tear
Hath dear religious love stol’n from mine eye
As interest of the dead, which now appear
But things removed that hidden in thee lie!
Thou art the grave where buried love doth live,
Hung with the trophies of my lovers gone,
Who all their parts of me to thee did give;
That due of many now is thine alone:
    Their images I loved I view in thee,
    And thou, all they, has all the all of me.",William Shakespeare,sonnet
How can I then return in happy plight (Sonnet 28),"How can I then return in happy plight,
That am debarr’d the benefit of rest?
When day’s oppression is not eased by night,
But day by night, and night by day, oppress’d?
And each, though enemies to either’s reign,
Do in consent shake hands to torture me;
The one by toil, the other to complain
How far I toil, still farther off from thee.
I tell the day, to please him thou art bright
And dost him grace when clouds do blot the heaven:
So flatter I the swart-complexion’d night,
When sparkling stars twire not thou gild’st the even
     But day doth daily draw my sorrows longer
     And night doth nightly make grief’s strength seem stronger.",William Shakespeare,sonnet
"Weary with toil, I haste me to my bed (Sonnet 27) ","Weary with toil, I haste me to my bed,
The dear repose for limbs with travel tired;
But then begins a journey in my head,
To work my mind, when body’s work’s expired:
For then my thoughts, from far where I abide,
Intend a zealous pilgrimage to thee,
And keep my drooping eyelids open wide,
Looking on darkness which the blind do see:
Save that my soul’s imaginary sight
Presents thy shadow to my sightless view,
Which, like a jewel hung in ghastly night,
Makes black night beauteous and her old face new.
    Lo! Thus, by day my limbs, by night my mind,
    For thee and for myself no quiet find.",William Shakespeare,sonnet
"Lord of my love, to whom in vassalage (Sonnet 26) ","Lord of my love, to whom in vassalage
Thy merit hath my duty strongly knot,
To thee I send this written embassage,
To witness duty, not to show my wit:
Duty so great, which wit so poor as mine
May make seem bare, in wanting words to show it,
But that I hope some good conceit of thine
In thy soul’s thought, all naked, will bestow it;
Till whatsoever star that guides my moving 
Points on me graciously with fair aspect
And puts apparel on my tatter’d loving,
To show me worthy of thy sweet respect:
    Then may I dare to boast how I do love thee;
    Till then not show my head where thou mayst prove me.",William Shakespeare,sonnet
Let those who are in favour with their stars (Sonnet 25),"Let those who are in favour with their stars
Of public honour and proud titles boast
Whilst I, whom fortune of such triumph bars,
Unlook’d for joy in that I honour most.
Great princes’ favourites their fair leaves spread
But as the marigold at the sun’s eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil’d,
Is from the book of honour razed quite,
And all therest forgot for which he toil’d;
    Then happy I, that love and am beloved
    Where I may not remove nor be removed.",William Shakespeare,sonnet
Mine eye hath play'd the painter and hath stell'd (Sonnet 24),"Mine eye hath play’d the painter and hath stell’d
Thy beauty’s form in table of my heart;
My body is the frame wherein ’tis held,
And perspective it is best painter’s art.
For through the painter must you see his skill,
To find where your true image pictured lies;
Which in my bosom’s shop is hanging still,
That hath his windows glazed with thine eyes.
Now see what good turns eyes for eyes have done:
Mine eyes have drawn thy shape, and thing for me
Are windows to my breast where-through the sun
Delights to peep, to gaze therein on thee;
    Yet eyes this cunning want to grace their art;
    They draw but what they see, know not the heart.",William Shakespeare,sonnet
As an unperfect actor on the stage (Sonnet 23),"As an unperfect actor on the stage
Who with his fear is put besides his part,
Or some fierce thing replete with too much rage,
Whose strength’s abundance weakens his own heart,
So I, for fear of trust, forget to say
The perfect ceremony of love’s rite,
And in mine own loves’s strength seem to decay,
O’ercharged with burden of mine one love’s might.
O, let my books be then the eloquence
And dumb presagers of my speaking breast,
Who plead for love and look for recompense
More than that tongue that more hath more express’d.
    O, learn to read what silent love hath writ:
    To hear with eyes belongs to love’s fine writ.",William Shakespeare,sonnet
My glass shall not persuade me I am old (Sonnet 22),"My glass shall not persuade me I am old,
So long as youth and thou are of one date;
But when in thee time’s furrows I behold,
Then look I death my days should expiate.
For all that beauty that doth cover thee
Is but the seemly raiment of my heart,
Which in thy breast doth live, as thine in me:
How can I then be elder than thou art?
O, therefore, love, be of thyself so wary
As I, not for myself, but for thee will;
Bearing thy heart, which I will keep so chary
As tender nurse her babe from faring ill.
    Presume not on thy heart when mine is slain;
    Thou gavest me thine, not to give back again.",William Shakespeare,sonnet
So is it not with me as with that Muse (Sonnet 21),"So is it not with me as with that Muse
Stirr’d by a painted beauty to his verse,
Who heaven itself for ornament doth use
And every fair with his fair doth rehearse;
Making a couplement of proud compare,
With sun and moon, with earth and sea’s rich gems,
With April’s first-born flowers, and all things rare
That heaven’s air in this huge rondure hems.
O, let me, true in love, but truly write,
And then believe me, my love is as fair
As any mother’s child, though not so bright
As those golden candles fix’d in heaven’s air:
    Let them say more that like of hearsay well;
    I will not praise that purpose not to sell.",William Shakespeare,sonnet
"Devouring Time, blunt thou the lion's paws (Sonnet 19) ","Devouring Time, blunt thou the lion’s paws,
And make the earth devour her own sweet brood;
Pluck the keen teeth from the fierce tiger’s jaws,
And burn the long-lived phœnix in her blood;
Make glad and sorry seasons as thou fleets,
And do whate’er thou wilt, swift-footed Time,
To the wide world and all her fading sweets;
But I forbid thee one most heinous crime:
O, carve not with thy hours my love’s fair brow,
Nor draw no lines there with thine antique pen;
Him in thy course untainted do allow
For beauty’s pattern to succeeding men.
    Yet, do thy worst, old Time: despite thy wrong,
    My love shall in my verse ever live young.",William Shakespeare,sonnet
Who will believe my verse in time to come (Sonnet 17),"Who will believe my verse in time to come,
If it were fill’d with your most high deserts?
Though yet, heaven knows, it is but as a tomb
Which hides your life and shows not half your parts.
If I could write the beauty of your eyes 
And in fresh numbers number all your graces
The age to come would say ‘This poet lies;
Such heavenly touches ne’er touch’d earthly faces.’
So should my papers yellow’d with their age
Be scorn’d like old men of less truth than tongue,
And your true rights be term’d a poet’s rage
And stretched metre of an antique song:
    But were some child of yours alive that time,
    You should live twice; in it and in my rhyme.",William Shakespeare,sonnet
But wherefore do not you a mightier way (Sonnet 16),"But wherefore do not you a mightier way
Make war upon this bloody tyrant, Time?
And fortify yourself in your decay
With means more blessed than my barren rhyme?
Now stand you on the top of happy hours,
And many maiden gardens yet unset
With virtuous wish would bear your living flowers,
Much liker than your painted counterfeit:
So should the lines of life that life repair,
Which this, Time’s pencil, or my pupil pen,
Neither in inward worth nor outward fair,
Can make you live yourself in eyes of men.
    To give away yourself keeps yourself still,
    And you must live, drawn by your own sweet skill.",William Shakespeare,sonnet
"O, that you were yourself! But, love, you are (Sonnet 13) ","O, that you were yourself! But, love, you are
No longer yours than you yourself here live:
Against this coming end you should prepare,
And your sweet semblance to some other give.
So should that beauty which you hold in lease
Find no determination; then you were
Yourself again after yourself’s decrease,
When your sweet issue your sweet form should bear.
Who lets so fair a house fall to decay,
Which husbandry in honour might uphold 
Against the stormy gusts of winter’s day
And barren rage of death’s eternal cold?
    O, none but unthrifts! Dear m love, you know
    You had a father: let your son say so.",William Shakespeare,sonnet
When I do count the clock that tells the time (Sonnet 12),"When I do count the clock that tells the time,
And see the brave day sunk in hideous night;
When I behold the violet past prime,
And sable curls all silver’d o’er with white;
When lofty trees I see barren of leaves
Which erst from heat did canopy the herd,
And summer’s green all girded up in sheaves
Borne on the bier with white and bristly beard,
Then of thy beauty do I question make,
That thou among the wastes of time must go,
Since sweets and beauties do themselves forsake
And die as fast as they see others growl
    And nothing ’gainst Time’s scythe can make defence
    Save breed, to brave him when he takes thee hence.",William Shakespeare,sonnet
"As fast as thou shalt wane, so fast thou growest (Sonnet 11) ","As fast as thou shalt wane, so fast thou growest
In one of thine, from that which thou departest;
And that fresh blood which youngly thou bestowest
Thou mayst call thine when thou from youth convertest.
Herein lives wisdom, beauty and increase;
Without this, folly, age and cold decay:
If all were minded so, the times should cease
And threescore year would make the world away.
Let those whom Nature hath not made for store,
Harsh, featureless and rude, barrenly perish: 
Look, whom she best endow’d she gave the more;
Which bounteous gift thou shouldst in bounty cherish:
    She carved thee for her seal, and meant thereby
    Thou shouldst print more, not let that copy die.",William Shakespeare,sonnet
For shame! Deny that thou bear'st love to any (Sonnet 10),"For shame! Deny that thou bear’st love to any,
Who for thyself art so unprovident.
Grant, if thou wilt, thou art beloved to many,
But that thou none lovest is most evident;
For thou art so possess’d with murderous hate
That ’gainst thyself thou stick’st not to conspire,
Seeking that beauteous roof to ruinate
Which to repair should be thy chief desire
O, change thy thought, that I may change my mind!
Shall hate be fairer lodged than gentle love?
Be, as thy presence is, gracious and kind,
Or to thyself at least kind-hearted prove:
    Make thee another self, for love of me,
    That beauty still may live in thine or thee.",William Shakespeare,sonnet
Is it for fear to we a widow's eye (Sonnet 9),"Is it for fear to wet a widow’s eye
That thou consumes thyself in single life?
Ah! if thou issueless shall hap to die,
The world will wail thee, like a makeless wife;
The world will be thy widow and still weep
That thou no form of thee hast left behind,
When every private widow well may keep
By children’s eyes her husband’s shape in mind.
Look, what an unthrift in the world doth spend
Shifts but his place, for still the world enjoys it;
But beauty’s waste hath in the world an end,
And, kept unused, the user so destroys it.
    No love toward others in that bosom sits
    That on himself such murderous shame commits.",William Shakespeare,sonnet
"Music to hear, why hear’st thou music sadly? (Sonnet 8) ","Music to hear, why hear’st thou music sadly?
Sweets with sweets war not, joy delights in joy.
Why lovest thou that which thou receives not gladly,
Or else receives with pleasure thine annoy?
If the true concord of well-tuned sounds,
By unions married, do offend thine ear,
They do but sweetly chide thee, who confounds
In singleness the parts that thou shouldst bear.
Mark how one string, sweet husband to another,
Strikes each in each by mutual ordering,
Resembling sire and child and happy mother
Who all in one, one pleasing note do sing:
    Whose speechless song, being many, seeming one,
    Sings this to thee: ‘thou single wilt prove none.’",William Shakespeare,sonnet
Lo! In the orient when the gracious light (Sonnet 7),"Lo! In the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
Serving with looks his sacred majesty;
And having climb’d the steep-up heavenly hill,
Resembling strong youth in his middle age,
Yet mortal looks adore his beauty still,
Attending on his golden pilgrimage;
But when from highmost pitch, with weary car,
Like feeble age, he reeleth from the day,
The eyes, ‘fore duteous, now converted are
From his low tract and look another way:
    So thou, thyself out-going in thy noon,
    Unlook’d on diest, unless thou get a son.",William Shakespeare,sonnet
"Those hours, that with gentle work did frame (Sonnet 5) ","Those hours, that with gentle work did frame
The lovely gaze where every eye doth dwell,
Will play the tyrants to the very same
And that unfair which fairly doth excel;
For never-resting time leads summer on
To hideous winter and confounds him there;
Sap check’d with frost and lusty leaves quite gone,
Beauty o’ersnow’d and bareness every where;
Then, were not summer’s distillation left
A liquid prisoner pent in walls of glass,
Beauty’s effect with beauty were bereft,
Not it nor no remembrance what it was:
    But flowers distill’ed, though they with winter meet,
    Leese but their show; their substance still lives sweet.",William Shakespeare,sonnet
"Unthrifty loveliness, why dost thou spend (Sonnet 4) ","Unthrifty loveliness, why dost thou spend
Upon thyself thy beauty’s legacy?
Nature’s bequest gives nothing but doth lend,
And being frank she lends to those are free.
Then, beauteous niggard, why dost thou abuse
The bounteous largess given thee to give?
Profitless usurer, why dost thou use
So great a sum of sums, yet canst not live?
For having traffic with thyself alone,
Thou of thyself thy sweet self dost deceive.
Then how, when nature calls thee to be gone,
What acceptable audit canst thou leave?
    Thy unus'd beauty must be tomb’d with thee,
    Which, used, lives th’ executor to be.",William Shakespeare,sonnet
"Look in thy glass, and tell the faces thou viewest (Sonnet 3) ","Look in thy glass, and tell the faces thou viewest
Now is the time that face should form another;
Whose fresh repair if now thou not renewest,
Thou dost beguile the world, unbless some mother.
For where is she so fair whose unear’d womb
Disdains the tillage of thy husbandry?
Or who is he so fond will be the tomb 
Of his self-love, to stop posterity?
Thou art thy mother’s glass, and she in thee
Calls back the lovely April of her prime:
So thou through windows of thing age shalt see
Despite of wrinkles this thy golden time.
    But if thou live, remember’d not to be,
    Die single, and thing image dies with thee.",William Shakespeare,sonnet
When forty winters shall besiege thy brow (Sonnet 2),"When forty winters shall besiege thy brow,
And dig deep trenches in thy beauty’s field,
Thy youth’s proud livery, so gazed on now,
Will be a tatter’d weed, of small worth held:
Then being ask’d where all thy beauty lies,
Where all the treasure of thy lusty days,
To say, within thine own deep-sunken eyes,
Were an all-eating shame and thriftless praise.
How much more praise deserved thy beauty’s use,
If thou couldst answer ‘This fair child of mine
Shall sum my count and make my old excuse,’
Proving his beauty by succession thine!
    This were to be new made when thou are old,
    And see thy blood warm when thou feel’s it cold.",William Shakespeare,sonnet
From fairest creatures we desire increase (Sonnet 1),"From fairest creatures we desire increase,
That thereby beauty’s rose might never die,
But as the riper should by time decrease,
His tender heir might bear his memory:
But thou, contracted to thine own bright eyes,
Feed’st thy light’s flame with self-substantial fuel.
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Thou that are now the world’s fresh ornament
And only herald to the gaudy spring,
Within thine own bud buriest thy content
And, tender churl, makest waste in niggarding.
     Pity the world, or else this glutton be,
     To eat the world’s due, by the grave and thee.",William Shakespeare,sonnet
When I have seen by Time's fell hand defaced (Sonnet 64),"When I have seen by Time’s fell hand defaced
The rich proud cost of outworn buried age;
When sometime lofty towers I see down-razed
And brass eternal slave to mortal rage;
When I have seen the hungry ocean gain
Advantage on the kingdom of the shore,
And the firm soil win of the watery main,
Increasing store with loss and loss with store;
When I have seen such interchange of state,
Or state itself confounded to decay;
Ruin hath taught me thus to ruminate,
That Time will come and take my love away.
    This thought is as a death, which cannot choose
    But weep to have that which it fears to lose.",William Shakespeare,sonnet
My mistress' eyes are nothing like the sun (Sonnet 130),"My mistress' eyes are nothing like the sun; 
Coral is far more red than her lips' red; 
If snow be white, why then her breasts are dun; 
If hairs be wires, black wires grow on her head. 
I have seen roses damasked, red and white, 
But no such roses see I in her cheeks; 
And in some perfumes is there more delight 
Than in the breath that from my mistress reeks. 
I love to hear her speak, yet well I know 
That music hath a far more pleasing sound; 
I grant I never saw a goddess go; 
My mistress when she walks treads on the ground. 
     And yet, by heaven, I think my love as rare 
     As any she belied with false compare.",William Shakespeare,sonnet
Shall I compare thee to a summer’s day? (Sonnet 18),"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate.
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date.
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimmed;
And every fair from fair sometime declines,
By chance, or nature’s changing course, untrimmed;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st,
Nor shall death brag thou wand’rest in his shade,
When in eternal lines to Time thou grow’st.
    So long as men can breathe, or eyes can see,
    So long lives this, and this gives life to thee.",William Shakespeare,sonnet
"Tired with all these, for restful death I cry (Sonnet 66) ","Tired with all these, for restful death I cry,
As to behold desert a beggar born, 
And needy nothing trimm'd in jollity,
And purest faith unhappily forsworn,
And gilded honour shamefully misplac'd,
And maiden virtue rudely strumpeted,
And right perfection wrongfully disgrac'd,
And strength by limping sway disabled
And art made tongue-tied by authority,
And folly—doctor-like—controlling skill,
And simple truth miscall'd simplicity,
And captive good attending captain ill:
    Tir'd with all these, from these would I be gone,
    Save that, to die, I leave my love alone.",William Shakespeare,sonnet
"Since brass, nor stone, nor earth, nor boundless sea (Sonnet 65) ","Since brass, nor stone, nor earth, nor boundless sea
But sad mortality o'er-sways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O, how shall summer's honey breath hold out
Against the wreckful siege of battering days,
When rocks impregnable are not so stout,
Nor gates of steel so strong, but time decays?
O fearful meditation! where, alack,
Shall time's best jewel from time's chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
    O, none, unless this miracle have might,
    That in black ink my love may still shine bright.",William Shakespeare,sonnet
Th' expense of spirit in a waste of shame (Sonnet 129),"Th' expense of spirit in a waste of shame
Is lust in action; and till action, lust
Is perjured, murderous, bloody, full of blame,
Savage, extreme, rude, cruel, not to trust;
Enjoyed no sooner but despisèd straight:
Past reason hunted; and no sooner had,
Past reason hated, as a swallowed bait,
On purpose laid to make the taker mad:
Mad in pursuit, and in possession so;
Had, having, and in quest to have, extreme;
A bliss in proof, and proved, a very woe;
Before, a joy proposed; behind, a dream.
        All this the world well knows; yet none knows well
        To shun the heaven that leads men to this hell.",William Shakespeare,sonnet
When I consider every thing that grows (Sonnet 15),"When I consider every thing that grows
Holds in perfection but a little moment.
That this huge stage presenteth nought but shows
Whereon the stars in secret influence comment.
When I perceive that men as plants increase,
Cheerèd and checked even by the self-same sky,
Vaunt in their youthful sap, at height decrease,
And wear their brave state out of memory;
Then the conceit of this inconstant stay,
Sets you most rich in youth before my sight,
Where wasteful Time debateth with decay
To change your day of youth to sullied night;
    And all in war with Time for love of you,
    As he takes from you, I engraft you new.",William Shakespeare,sonnet
They that have power to hurt and will do none (Sonnet 94),"They that have power to hurt and will do none
That do not do the thing they most do show,
Who, moving others, are themselves as stone,
Unmoved, cold, and to temptation slow; 
They rightly do inherit heaven’s graces
And husband nature’s riches from expense;
They are the lords and owners of their faces,
Others but stewards of their excellence. 
The summer’s flower is to the summer sweet,
Though to itself it only live and die,
But if that flower with base infection meet,
The basest weed outbraves his dignity: 
    For sweetest things turn sourest by their deeds; 
    Lilies that fester smell far worse than weeds.",William Shakespeare,sonnet
Let me not to the marriage of true minds (Sonnet 116),"Let me not to the marriage of true minds 
Admit impediments. Love is not love 
Which alters when it alteration finds, 
Or bends with the remover to remove: 
O, no! it is an ever-fixed mark, 
That looks on tempests and is never shaken; 
It is the star to every wandering bark, 
Whose worth’s unknown, although his height be taken. 
Love’s not Time’s fool, though rosy lips and cheeks 
Within his bending sickle’s compass come;
Love alters not with his brief hours and weeks, 
But bears it out even to the edge of doom. 
    If this be error, and upon me prov’d, 
    I never writ, nor no man ever lov’d.",William Shakespeare,sonnet
How like a winter hath my absence been (Sonnet 97),"How like a winter hath my absence been
From thee, the pleasure of the fleeting year!
What freezings have I felt, what dark days seen!
What old December’s bareness every where! 
And yet this time remov’d was summer’s time;
The teeming autumn, big with rich increase,
Bearing the wanton burden of the prime, 
Like widow’d wombs after their lords’ decease:
Yet this abundant issue seem’d to me 
But hope of orphans and unfather’d fruit;
For summer and his pleasures wait on thee,
And, thou away, the very birds are mute: 
    Or, if they sing, ’tis with so dull a cheer,
    That leaves look pale, dreading the winter’s near.",William Shakespeare,sonnet
Not from the stars do I my judgment pluck (Sonnet 14),"Not from the stars do I my judgment pluck,
And yet methinks I have astronomy;
But not to tell of good or evil luck,
Of plagues, of dearths, or seasons' quality;
Nor can I fortune to brief minutes tell,
Pointing to each his thunder, rain, and wind,
Or say with princes if it shall go well
By oft predict that I in heaven find.
But from thine eyes my knowledge I derive,
And, constant stars, in them I read such art
As truth and beauty shall together thrive
If from thyself to store thou wouldst convert:
    Or else of thee this I prognosticate,
    Thy end is truth's and beauty's doom and date.",William Shakespeare,sonnet
When in disgrace with fortune and men's eyes (Sonnet 29),"When in disgrace with fortune and men's eyes,
I all alone beweep my outcast state,
And trouble deaf heaven with my bootless cries,
And look upon myself and curse my fate,
wishing me like to one more rich in hope,
Featured like him, like him with friends possessed,
Desiring this man's art, and that man's scope,
With what I most enjoy contented least;
Yet in these thoughts myself almost despising,
Haply I think on thee—and then my state,
Like to the lark at break of day arising
From sullen earth sings hymns at heaven's gate;
    For thy sweet love remembered such wealth brings,
    That then I scorn to change my state with kings.",William Shakespeare,sonnet
Not marble nor the gilded monuments (Sonnet 55),"Not marble nor the gilded monuments
Of princes shall outlive this powerful rhyme;
But you shall shine more bright in these contents
Than unswept stone, besmear'd with sluttish time.
When wasteful war shall statues overturn,
And broils root out the work of masonry,
Nor Mars his sword nor war's quick fire shall burn
The living record of your memory.
'Gainst death and all-oblivious enmity
Shall you pace forth; your praise shall still find room,
Even in the eyes of all posterity
That wear this world out to the ending doom.
    So, till the judgment that yourself arise,
    You live in this, and dwell in lovers' eyes.",William Shakespeare,sonnet
From you have I been absent in the spring (Sonnet 98),"From you have I been absent in the spring,
When proud-pied April, dressed in all his trim,
Hath put a spirit of youth in everything,
That heavy Saturn laughed and leaped with him,
Yet nor the lays of birds, nor the sweet smell
Of different flowers in odor and in hue,
Could make me any summer's story tell,
Or from their proud lap pluck them where they grew.
Nor did I wonder at the lily's white,
Nor praise the deep vermilion in the rose;
They were but sweet, but figures of delight,
Drawn after you, you pattern of all those.
    Yet seemed it winter still, and, you away,
    As with your shadow I with these did play.",William Shakespeare,sonnet
That time of year thou mayst in me behold (Sonnet 73),"That time of year thou mayst in me behold
When yellow leaves, or none, or few, do hang
Upon those boughs which shake against the cold,
Bare ruined choirs, where late the sweet birds sang.
In me thou see'st the twilight of such day
As after sunset fadeth in the west;
Which by and by black night doth take away,
Death's second self, that seals up all in rest.
In me thou see'st the glowing of such fire,
That on the ashes of his youth doth lie,
As the deathbed whereon it must expire,
Consumed with that which it was nourished by.
    This thou perceiv'st, which makes thy love more strong,
    To love that well which thou must leave ere long.",William Shakespeare,sonnet
When to the sessions of sweet silent thought (Sonnet 30),"When to the sessions of sweet silent thought
I summon up remembrance of things past,
I sigh the lack of many a thing I sought,
And with old woes new wail my dear time's waste:
Then can I drown an eye, unused to flow,
For precious friends hid in death's dateless night,
And weep afresh love's long since cancelled woe,
And moan the expense of many a vanished sight:
Then can I grieve at grievances foregone,
And heavily from woe to woe tell o'er
The sad account of fore-bemoanèd moan,
Which I new pay as if not paid before.
    But if the while I think on thee, dear friend,
    All losses are restored and sorrows end.",William Shakespeare,sonnet
"Love's Labour's Lost, Act V, Scene 2 [Winter] ","When icicles hang by the wall
   And Dick the shepherd blows his nail
And Tom bears logs into the hall
   And milk comes frozen home in pail,
When blood is nipp'd and ways be foul,
Then nightly sings the staring owl,
                        Tu-whit;
Tu-who, a merry note,
While greasy Joan doth keel the pot.

When all aloud the wind doth blow
   And coughing drowns the parson's saw
And birds sit brooding in the snow
   And Marian's nose looks red and raw,
When roasted crabs hiss in the bowl,
Then nightly sings the staring owl,
                        Tu-whit;
Tu-who, a merry note,
While greasy Joan doth keel the pot.",William Shakespeare,sonnet
"Since I left you, mine eye is in my mind; (Sonnet 113) ","Since I left you, mine eye is in my mind;
And that which governs me to go about
Doth part his function and is partly blind,
Seems seeing, but effectually is out;
For it no form delivers to the heart
Of bird, of flower, or shape, which it doth latch:
Of his quick objects hath the mind no part,
Nor his own vision holds what it doth catch;
For if it see the rudest or gentlest sight,
The most sweet favour or deformed’st creature,
The mountain or the sea, the day or night,
The crow or dove, it shapes them to your feature:
    Incapable of more, replete with you,
    My most true mind thus makes mine eye untrue.",William Shakespeare,sonnet
Sonnet 15: When I consider everything that grows,"When I consider everything that grows
Holds in perfection but a little moment,
That this huge stage presenteth nought but shows
Whereon the stars in secret influence comment;
When I perceive that men as plants increase,
Cheered and check'd even by the selfsame sky,
Vaunt in their youthful sap, at height decrease,
And wear their brave state out of memory;
Then the conceit of this inconstant stay
Sets you most rich in youth before my sight,
Where wasteful Time debateth with Decay
To change your day of youth to sullied night;
And all in war with Time for love of you,
As he takes from you, I engraft you new.",William Shakespeare,sonnet
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",William Shakespeare,sonnet
"Sonnet 19: Devouring Time, blunt thou the lion's paws","Devouring Time, blunt thou the lion's paws,
And make the earth devour her own sweet brood;
Pluck the keen teeth from the fierce tiger's jaws,
And burn the long-liv'd Phoenix in her blood;
Make glad and sorry seasons as thou fleets,
And do whate'er thou wilt, swift-footed Time,
To the wide world and all her fading sweets;
But I forbid thee one more heinous crime:
O, carve not with thy hours my love's fair brow,
Nor draw no lines there with thine antique pen!
Him in thy course untainted do allow
For beauty's pattern to succeeding men.
Yet do thy worst, old Time! Despite thy wrong
My love shall in my verse ever live young.",William Shakespeare,sonnet
Sonnet 25: Let those who are in favour with their stars,"Let those who are in favour with their stars
Of public honour and proud titles boast,
Whilst I, whom fortune of such triumph bars,
Unlook'd for joy in that I honour most.
Great princes' favourites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed.",William Shakespeare,sonnet
"Sonnet 29: When, in disgrace with fortune and men’s eyes","When, in disgrace with fortune and men’s eyes,
I all alone beweep my outcast state,
And trouble deaf heaven with my bootless cries,
And look upon myself and curse my fate,
Wishing me like to one more rich in hope,
Featured like him, like him with friends possessed,
Desiring this man’s art and that man’s scope,
With what I most enjoy contented least;
Yet in these thoughts myself almost despising,
Haply I think on thee, and then my state,
(Like to the lark at break of day arising
From sullen earth) sings hymns at heaven’s gate;
       For thy sweet love remembered such wealth brings
       That then I scorn to change my state with kings.",William Shakespeare,sonnet
