poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence,blocked
My Letters! all dead paper... (Sonnet 28),"My letters! all dead paper, mute and white!
And yet they seem alive and quivering
Against my tremulous hands which loose the string
And let them drop down on my knee tonight.
This said—he wished to have me in his sight
Once, as a friend: this fixed a day in spring
To come and touch my hand. . . a simple thing,
Yes I wept for it—this . . . the paper's light. . .
Said, Dear, I love thee; and I sank and quailed
As if God's future thundered on my past.
This said, I am thine—and so its ink has paled
With lying at my heart that beat too fast.
And this . . . 0 Love, thy words have ill availed
If, what this said, I dared repeat at last!",Elizabeth Barrett Browning,sonnet,Ghazal,"This poem is a ghazal because it features the repeated refrain of ""And this..."" which acts as the traditional ghazal’s *maqta’* (couplet refrain), and the poem explores themes of memory, loss, and unspoken emotion. The structure of alternating stanzas with the recurring refrain, as well as the reflective, often intimate tone, align with the conventions of the ghazal form. The poem also exhibits the characteristic emotional depth and focus on love, longing, and the interplay between speaker and beloved common in ghazals.",Refrain,0.89,False
Sonnets from the Portuguese  1: I thought once how Theocritus had sung,"I thought once how Theocritus had sung 
Of the sweet years, the dear and wished for years, 
Who each one in a gracious hand appears 
To bear a gift for mortals, old or young: 
And, as I mused it in his antique tongue, 
I saw, in gradual vision through my tears, 
The sweet, sad years, the melancholy years, 
Those of my own life, who by turns had flung 
A shadow across me. Straightway I was 'ware, 
So weeping, how a mystic Shape did move 
Behind me, and drew me backward by the hair, 
And a voice said in mastery, while I strove, ... 
Guess now who holds thee?'—Death,' I said. But there, 
The silver answer rang ... Not Death, but Love.'",Elizabeth Barrett Browning,sonnet,Blues Poem,"This poem fits the blues poem form because it expresses a personal experience of loss and transformation (the speaker confronting death but being answered by love), employs a reflective, sorrowful tone, and uses a narrative structure common in the blues tradition—often involving a journey through grief or a confrontation with fate. The abrupt shift from mourning to hope at the end is characteristic of the blues, which often resolves with a twist or uplifting note. Additionally, the conversational and confessional tone, as well as the use of direct address to an unnamed figure, align with the blues style.",Grief,0.87,False
"October XXIX, 1795 ","Time sitting on the throne of Memory
Bade all her subject Days, the past had known
Arise and say what thing gave them renown
Unforgetable, ‘Rising from the sea,
I gave the Genoese his dream to be;’
‘I saw the Corsican’s Guards swept down;’
‘Colonies I made free from a tyrant’s crown;’—
So each Day told its immortality.

And with these blazing triumphs spoke one voice
Whose wistful speech no vaunting did employ:
‘I know not if ’twere by Fate’s chance or choice
I hold the lowly birth of an English boy;
I only know he made man’s heart rejoice
Because he played with Beauty for a toy!’",William Stanley Braithwaite,sonnet,Ghazal,"This poem is a ghazal because it consists of several unrhymed couplets (or tercets) that revolve around a central theme—the speaker's recollections and self-reflection. Ghazals are known for their thematic groups of verses (couplets) around a pivot or central idea, often featuring some degree of rhyme and rhythm but not a rigid sonnet structure. The poem’s reflective tone, focus on memory, and the recurring theme of ""triumphs"" and personal identity align with the conventions of the ghazal. Additionally, the poem’s meditative and slightly formal tone, along with its use of repetition and thematic unity, supports the ghazal classification over the other options.",Memory,0.89,False
Love is my sin and thy dear virtue hate (Sonnet 142),"Love is my sin and thy dear virtue hate,
Hate of my sin, grounded on sinful loving:
O, but with mine compare thou thine own state,
And thou shalt find it merits not reproving;
Or, if it do, not from those lips of thine,
That have profaned their scarlet ornaments 
And seal’d false bonds of love as oft as mine,
Robb’d others’ beds’ revenues of their rents.
Be it lawful I love thee, as thou lovest those 
Whom thine eyes woo as mine importune thee:
Root pity in thy heart, that when it grows
Thy pity may deserve to pitied be.
    If thou dost seek to have what thou dost hide,
    By self-example mayst thou be denied!",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the typical ghazal structure of multiple stanzas (here, two quatrains) separated by a haiku-like couplet (the last two lines), a theme of love and moral conflict, and the use of a repeated rhyme scheme (often ABAB with a central maqāṣid or explicit rhyme in the closing couplet). The poem explores the complexity of love, self-reflection, and moral dilemma, which are common themes in ghazals. The final couplet, which often functions as a moral or philosophical conclusion typical of ghazals, further supports this identification.",Contrast,0.89,False
The Dead (IV),"These hearts were woven of human joys and cares, 
      Washed marvellously with sorrow, swift to mirth. 
The years had given them kindness. Dawn was theirs, 
      And sunset, and the colours of the earth. 
These had seen movement, and heard music; known 
      Slumber and waking; loved; gone proudly friended; 
Felt the quick stir of wonder; sat alone; 
      Touched flowers and furs and cheeks. All this is ended. 
 
There are waters blown by changing winds to laughter 
And lit by the rich skies, all day. And after, 
      Frost, with a gesture, stays the waves that dance 
And wandering loveliness. He leaves a white 
      Unbroken glory, a gathered radiance, 
A width, a shining peace, under the night.",Rupert Brooke,sonnet,Ghazal,"This poem is a ghazal because it consists of two unrhymed stanzas (or padas) that do not follow a fixed metrical pattern, yet it exhibits the characteristic thematic elements of ghazals—mortality, the passage of time, reminiscence of past experiences, and a reflective tone. The poem meditates on the transition from a life full of experiences to an end state, which is a common motif in ghazals. While the provided stanzas here are relatively short and lack the typical ghazal meter and rhyme scheme as commonly found in English translations, the contemplative mood, reference to time and memory, and the final arrival at a state of peace align closely with the spirit of the ghazal form.",Memory,0.88,False
"Love's Labour's Lost, Act V, Scene 2 [Winter] ","When icicles hang by the wall
   And Dick the shepherd blows his nail
And Tom bears logs into the hall
   And milk comes frozen home in pail,
When blood is nipp'd and ways be foul,
Then nightly sings the staring owl,
                        Tu-whit;
Tu-who, a merry note,
While greasy Joan doth keel the pot.

When all aloud the wind doth blow
   And coughing drowns the parson's saw
And birds sit brooding in the snow
   And Marian's nose looks red and raw,
When roasted crabs hiss in the bowl,
Then nightly sings the staring owl,
                        Tu-whit;
Tu-who, a merry note,
While greasy Joan doth keel the pot.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it consists of multiple stanzas (here, two quatrains) with a repetitive refrain (""Tu-whit; Tu-who, a merry note"") that appears at the end of each stanza. Ghazals typically have this couplet structure and often include a thematic or emotional pivot at the end of each couplet. Additionally, the poem uses a loose rhyme scheme and conversational, folk-like tone that is common in traditional ghazals, though it shares some characteristics with the ballad form. The presence of repeated lines and a loose meter further support the ghazal classification over sonnet, duplex, or blues poem.",Refrain,0.89,False
Duns Scotus's Oxford,"Towery city and branchy between towers; 
Cuckoo-echoing, bell-swarmèd, lark charmèd, rook racked, river-rounded; 
The dapple-eared lily below thee; that country and town did 
Once encounter in, here coped & poisèd powers; 
Thou hast a base and brickish skirt there, sours 
That neighbour-nature thy grey beauty is grounded 
Best in; graceless growth, thou hast confounded 
Rural, rural keeping — folk, flocks, and flowers. 
 
Yet ah! this air I gather and I release 
He lived on; these weeds and waters, these walls are what 
He haunted who of all men most sways my spirits to peace; 
Of realty the rarest-veinèd unraveller; a not 
Rivalled insight, be rival Italy or Greece; 
Who fired France for Mary without spot.",Gerard Manley Hopkins,sonnet,Blues Poem,"This poem is a blues poem because it expresses sorrow or longing through the voice of the speaker, who laments the loss or decline of a place or person (referenced through phrases like ""thou hast confounded rural keeping,"" ""best in; graceless growth,"" and ""he haunted who of all men most sways my spirits to peace""). The structure, with an AAB rhyme scheme in stanzas and a reflective, somewhat mournful tone, aligns with the traditional elements of the blues form, which often tells a personal story of hardship or change.",Lament,0.89,False
"Sonnet: On Being Cautioned Against Walking on an Headland Overlooking the Sea, Because It Was Frequented by a Lunatic","Is there a solitary wretch who hies 
   To the tall cliff, with starting pace or slow, 
And, measuring, views with wild and hollow eyes 
   Its distance from the waves that chide below; 
Who, as the sea-born gale with frequent sighs 
   Chills his cold bed upon the mountain turf, 
With hoarse, half-uttered lamentation, lies 
   Murmuring responses to the dashing surf? 
In moody sadness, on the giddy brink, 
   I see him more with envy than with fear; 
He has no nice felicities that shrink 
   From giant horrors; wildly wandering here, 
He seems (uncursed with reason) not to know 
The depth or the duration of his woe.",Charlotte Smith,sonnet,Ghazal,"This poem is a ghazal because it features a consistent rhyme scheme (the ending words of stanzas often rhyme, such as ""hies/his,"" ""below/below,"" ""turf/urf,"" etc.), an emphasis on personal emotion and introspection, and a reflective, somewhat philosophical tone common in ghazal poetry. While the poem is not framed with the explicit ""qafiya"" and ""hamda"" (traditional ghazal forms), its structure of irregular quatrains with a refrain-like quality and strong thematic focus on longing and solitude align closely with the spirit of the ghazal.",Solitude,0.85,False
"O, that you were yourself! But, love, you are (Sonnet 13) ","O, that you were yourself! But, love, you are
No longer yours than you yourself here live:
Against this coming end you should prepare,
And your sweet semblance to some other give.
So should that beauty which you hold in lease
Find no determination; then you were
Yourself again after yourself’s decrease,
When your sweet issue your sweet form should bear.
Who lets so fair a house fall to decay,
Which husbandry in honour might uphold 
Against the stormy gusts of winter’s day
And barren rage of death’s eternal cold?
    O, none but unthrifts! Dear m love, you know
    You had a father: let your son say so.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it features a repeated structural pattern of couplets (tercets in some versions), with each stanza typically framed by a rhyming couplet (mufaṣṣir) that often addresses or reflects on a central theme or emotion. The poem also explores the ephemeral nature of love and identity, which are common thematic elements in ghazals. The presence of an explicit address (""O, none but unthrifts! Dear my love...""), the reflective tone, and the intricate interplay of longing and philosophical musing are characteristic of the ghazal form. Additionally, while the lines are not divided into the strict couplet-tercet pattern as in some translations, the overall poetic structure, emotional complexity, and rhyming scheme align well with the conventions of the ghazal.",Address,0.88,False
Protest,"I long not now, a little while at least, 
For that serene interminable hour 
When I shall leave this barmecidal feast, 
With poppy for my everlasting flower. 
I long not now for that dim cubicle 
Of earth to which my lease will not expire, 
Where he who comes a tenant there may dwell 
Without a thought of famine, flood, or fire. 

Surely that house has quiet to bestow:
Still tongue, spent pulse, heart pumped of its last throb,
The fingers tense and tranquil in a row, 
The throat unwelled with any sigh or sob. 
But time to live, to love, bear pain and smile,
Oh, we are given such a little while! ",Countee Cullen,sonnet,Blues Poem,"This poem is a blues poem because it expresses longing and sorrow over a personal situation (leaving this life or existence), which is a common theme in traditional blues poetry. The speaker's expressions of hope, wishes, and the sense of transience (""we are given such a little while!"") align with the emotional tone and structure often found in blues verse, particularly in their lamentative or melancholic tone and use of repetition. While the form isn't strictly adhered to (as blues poems often use AAB rhyme schemes and repeating lines), the mood and thematic content strongly evoke the blues tradition.",Lament,,False
Sonnet: To the Poppy [“While summer roses all their glory yield”],"While summer roses all their glory yield
   To crown the votary of love and joy,
   Misfortune’s victim hails, with many a sigh,
   Thee, scarlet Poppy of the pathless field,
Gaudy, yet wild and lone; no leaf to shield
   Thy flaccid vest that, as the gale blows high,
   Flaps, and alternate folds around thy head.
   So stands in the long grass a love-crazed maid,
Smiling aghast; while stream to every wind
   Her garish ribbons, smeared with dust and rain;
   But brain-sick visions cheat her tortured mind,
And bring false peace. Thus, lulling grief and pain,
   Kind dreams oblivious from thy juice proceed,
   Thou flimsy, showy, melancholy weed.",Anna Seward,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic feature of the ghazal: a refrain (or a repeated thematic or structural element) and a consistent meter with couplets (tercets or couplets) that often explore themes of love, loss, and longing. Although the provided poem does not have an explicit repeated phrase (qasida) or clear qafiyah, the focus on a solitary figure, shifting emotions, and vivid imagery aligns with the lyrical and contemplative nature of the ghazal, especially in its modern or English-language manifestations. The poem's moods shift between vivid imagery and introspection, which are common in the ghazal tradition.",Imagery,0.82,False
The Power of Armies is a Visible Thing,"The power of Armies is a visible thing,
Formal and circumscribed in time and space;
But who the limits of that power shall trace
Which a brave People into light can bring
Or hide, at will,—for freedom combating
By just revenge inflamed? No foot may chase,
No eye can follow, to a fatal place
That power, that spirit, whether on the wing
Like the strong wind, or sleeping like the wind
Within its awful caves.—From year to year
Springs this indigenous produce far and near;
No craft this subtle element can bind,
Rising like water from the soil, to find
In every nook a lip that it may cheer.",William Wordsworth,sonnet,Ghazal,"This poem is a ghazal because it features a highly regular structure with repeated end-rhymes (or a ghazal's characteristic couplet structure), an emphasis on themes of freedom and spirit, and evocative imagery that is typical of the form. The poem also explores the intangible nature of national spirit versus material power, a common thematic focus in ghazals, which often address love, faith, or existential ideals. While the poem is not written in the classical Persian ghazal meter, its thematic depth and rhythmic feel align closely with the form’s spirit of reflection and emotional resonance.",Spirit,0.87,False
Sonnet 130: My mistress' eyes are nothing like the sun,"My mistress' eyes are nothing like the sun;
Coral is far more red than her lips' red;
If snow be white, why then her breasts are dun;
If hairs be wires, black wires grow on her head.
I have seen roses damasked, red and white,
But no such roses see I in her cheeks;
And in some perfumes is there more delight
Than in the breath that from my mistress reeks.
I love to hear her speak, yet well I know
That music hath a far more pleasing sound;
I grant I never saw a goddess go;
My mistress, when she walks, treads on the ground.
   And yet, by heaven, I think my love as rare
   As any she belied with false compare.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the classic English sonnet structure of 14 lines, typically iambic pentameter, with a clear volta (turn) around line 8, and concludes with a couplet. The poem also uses the conventional ABAB CDCD EFEF GG rhyme scheme, which is characteristic of the English (Shakespearean) sonnet. The content, while not a direct meditation or extended metaphor like some sonnets, fits the formal conventions of the form, including the thematic organization into two parts linked by a structural shift.",Structure,0.88,False
"Thy gift, thy tables, are within my brain (Sonnet 122) ","Thy gift, thy tables, are within my brain
Full character’d with lasting memory,
Which shall above that idle rank remain
Beyond all date, even to eternity;
Or at the least, so long as brain and heart
Have faculty by nature to subsist;
Till each to razed oblivion yield his part
Of thee, thy record never can be miss’d.
That poor retention could not so much hold,
Nor need I tallies thy dead love to score;
Therefore to give them from me was I bold,
To trust those tables that receive thee more:
    To keep an adjunct to remember thee
    Were to import forgetfulness in me.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic feature of the ghazal: the presence of rhyming couplets (or tercets with a consistent rhyme scheme) and the inclusion of a ""maqta"" or turning line (a line that shifts the perspective or theme), though the structure here is more subtly presented. The poem explores memory and the persistence of love through poetic devices such as rhyme and reflective turns, which are hallmarks of the ghazal form in English adaptations.",Memory,0.89,False
"Since brass, nor stone, nor earth, nor boundless sea (Sonnet 65) ","Since brass, nor stone, nor earth, nor boundless sea
But sad mortality o'er-sways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O, how shall summer's honey breath hold out
Against the wreckful siege of battering days,
When rocks impregnable are not so stout,
Nor gates of steel so strong, but time decays?
O fearful meditation! where, alack,
Shall time's best jewel from time's chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
    O, none, unless this miracle have might,
    That in black ink my love may still shine bright.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic features of the ghazal form: it is divided into couplets (tercets in this case, with a rhyme scheme of AAA AA, though the formatting here is somewhat irregular), explores themes of mortality and time, and includes a concluding ""maqta"" (concluding line) that reflects on the ephemeral nature of love. While the provided stanzas are not perfectly structured as a classic ghazal with the standard five or seven couplets, the reflective tone, the meditation on time and beauty, and the use of rhyming couplets align closely with the spirit of the ghazal as an expressive form that contemplates existential themes.",Mortality,,False
Modern Love: XI," 
Out in the yellow meadows, where the bee
Hums by us with the honey of the Spring,
And showers of sweet notes from the larks on wing,
Are dropping like a noon-dew, wander we.
Or is it now? or was it then? for now,
As then, the larks from running rings pour showers:
The golden foot of May is on the flowers,
And friendly shadows dance upon her brow.
What’s this, when Nature swears there is no change
To challenge eyesight? Now, as then, the grace
Of heaven seems holding earth in its embrace.
Nor eyes, nor heart, has she to feel it strange?
Look, woman, in the West. There wilt thou see
An amber cradle near the sun’s decline:
Within it, featured even in death divine,
Is lying a dead infant, slain by thee.
 
 ",George Meredith,sonnet,Duplex,"This poem is a duplex because it appears to have two distinct, interwoven thematic strands or perspectives: the first part presents a tranquil, almost pastoral scene of nature, evoking harmony and the passage of the seasons, while the second part shifts abruptly to a dark, tragic narrative involving a dead infant and accusation. The poem oscillates between these contrasting moods and imagery, typical of the duplex form which often juxtaposes two related but opposing ideas or realities within a single poem. The structure does not fit the strict patterns of a sonnet (14 lines, rhyme scheme) or the regular couplet/rhyme patterns of a ghazal or blues. The lack of a consistent rhyme scheme and the free-flowing movement between light and dark imagery also rule out the blues form.",Juxtaposition,0.92,False
"In faith, I do not love thee with mine eyes (Sonnet 141) ","In faith, I do not love thee with mine eyes,
For they in thee a thousand errors note;
But ’tis my heart that loves what they despise,
Who in despite of view is pleased to dote;
Nor are mine ears with thy tongue’s tune delighted,
Nor tender feeling, to base touches prone,
Nor taste, nor smell, desire to be invited
To any sensual feast with thee alone:
But my five wits nor my five senses can
Dissuade one foolish heart from serving thee,
Who leaves unsway’d the likeness of a man,
Thy proud heart’s slave and vassal wretch to be:
    Only my plague thus far I count my gain,
    That she that makes me sin awards me pain.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it features a repetitive structural pattern often found in the ghazal form—most notably the presence of a refrain (though not explicitly stated here, the recurring theme of ""my heart"" and the focus on love and its contradictions are characteristic of ghazal motifs). Ghazals often explore themes of love, longing, and the complexity of emotion, and they typically employ a specific rhyme scheme and a refrain at the end of each couplet or stanza. While the poem provided does not clearly display the exact traditional features (like a explicit maktab or a clear numerical rhyme scheme), the emotional tone, introspection, and structure align closely with the spirit of the ghazal, especially given the theme of unrequited or conflicted love.",Love,0.87,False
Bereavement,"Whose was that gentle voice, that, whispering sweet, 
      Promised methought long days of bliss sincere! 
      Soothing it stole on my deluded ear, 
Most like soft music, that might sometimes cheat 
Thoughts dark and drooping! ’Twas the voice of Hope. 
      Of love and social scenes, it seemed to speak, 
      Of truth, of friendship, of affection meek; 
That, oh! poor friend, might to life’s downward slope 
Lead us in peace, and bless our latest hours. 
      Ah me! the prospect saddened as she sung; 
      Loud on my startled ear the death-bell rung; 
Chill darkness wrapt the pleasurable bowers, 
Whilst Horror, pointing to yon breathless clay, 
“No peace be thine,” exclaimed, “away, away!”",William Lisle Bowles,sonnet,Blues Poem,"This poem is a blues poem because it expresses sorrow, loss, and a response to a sudden, tragic event (the death indicated by the ""death-bell""). The structure is informal, with an AAB rhyme scheme in the refrain and a focus on emotional distress, characteristic of the blues tradition. The speaker reflects on the loss of hope and the sudden turn from joy to despair, echoing the emotional catharsis and narrative progression typical of blues poetry.",Grief,0.91,False
Misgivings,"When ocean-clouds over inland hills
   Sweep storming in late autumn brown,
 And horror the sodden valley fills,
   And the spire falls crashing in the town,
 I muse upon my country’s ills—
 The tempest bursting from the waste of Time
On the world’s fairest hope linked with man’s foulest crime.

 Nature’s dark side is heeded now—
   (Ah! optimist-cheer disheartened flown)—
 A child may read the moody brow
   Of yon black mountain lone.
 With shouts the torrents down the gorges go,
 And storms are formed behind the storm we feel:
The hemlock shakes in the rafter, the oak in the driving keel.",Herman Melville,sonnet,Ghazal,"This poem is a ghazal because it features a recurring rhyme scheme, often with a qafi’ and maqta’ (a pair of rhyming lines), and it explores a reflective, almost philosophical theme about nature’s wrath and human folly. The poem’s structure, while not perfectly rigidly patterned like a classical ghazal, shows the characteristic thematic movement from personal reflection to broader existential concerns, with an undercurrent of melancholy and a hint of spiritual or moral questioning common in ghazals. Additionally, the stanzas are loosely grouped and there is an allusion to a change in tone or perspective (from observing nature's violence to contemplating ""country’s ills""), which is typical in ghazals.",Reflection,0.87,False
Despotisms,"I: THE MOTOR: 1905

From hedgerows where aromas fain would be
    New volleyed odours execrably arise;
    The flocks, with hell-smoke in their patient eyes,
Into the ditch from bawling ruin flee:
Spindrift of one abominated sea
    Along all roads in wrecking fury flies
    Till on young strangled leaf, on bloom that dies,
In this far plot it writes a rune for me.

Vast intimate tyranny! Nature dispossessed
    Helplessly hates thee, whose symbolic flare
Lights up (with what reiterance unblest!)
    Entrails of horror in a world thought fair.
False God of pastime thou, vampire of rest,
    Augur of what pollution, what despair?",Louise Imogen Guiney,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic ghazal features of multiple stanzas (here, two quatrains), a refrain-like thematic element (the repeated references to ""plot"" and ""fear"" as a driving motif), subtle yet persistent rhyme schemes within the couplets, and an introspective, philosophical tone focused on personal and existential themes. Although the poem is only two quatrains, the structure hints at the typical ghazal form, which often consists of several couplets grouped under a unifying theme or end-rhyme.",Theme,0.85,False
"Sonnet 12 [Alas, so all things now do hold their peace] ","Alas, so all things now do hold their peace,
Heaven and earth disturbèd in no thing;
The beasts, the air, the birds their song do cease;
The nightes car the stars about doth bring.
Calm is the sea, the waves work less and less.
So am not I, whom love, alas, doth wring,
Bringing before my face the great increase
Of my desires, whereat I weep and sing
In joy and woe, as in a doubtful ease.
For my sweet thoughts sometime do pleasure bring,
But by and by the cause of my disease
Gives me a pang that inwardly doth sting,
When that I think what grief it is again
To live and lack the thing should rid my pain.",Henry Howard,sonnet,Blues Poem,"This poem is a blues poem because it expresses sorrow and lamentation over the loss of peace and happiness, particularly due to unfulfilled love. The structure reflects the typical ""AAB"" rhyme scheme and repetitive, plaintive tone characteristic of the blues tradition. While the poem is not strictly in a standardized blues form with a clear 12-bar pattern or explicit call-and-response elements, its focus on sorrow, longing, and emotional pain aligns well with the genre's conventions. The speaker's weeping, woe, and yearning for relief are central themes in classic blues lyrics.",Lament,0.88,False
To Shakespeare,"Oft, when my lips I open to rehearse 
Thy wondrous spell of wisdom, and of power, 
And that my voice, and thy immortal verse, 
On listening ears, and hearts, I mingled pour, 
I shrink dismayed – and awful doth appear 
The vain presumption of my own weak deed; 
Thy glorious spirit seems to mine so near, 
That suddenly I tremble as I read – 
Thee an invisible auditor I fear: 
Oh, if it might be so, my master dear! 
With what beseeching would I pray to thee, 
To make me equal to my noble task, 
Succor from thee, how humbly would I ask, 
Thy worthiest works to utter worthily.",Frances Anne Kemble,sonnet,Ghazal,"This poem is a ghazal because it features repeated thematic and structural elements common to the ghazal form, such as meditative or reflective tone, an emphasis on divine or transcendent inspiration, and the presence of a ""maqta"" (a closing couplet or refrain-like stanza). Although the provided poem lacks the traditional meter and formal rhyming patterns of a ghazal, it exhibits introspection, a sense of seeking, and the speaker's reverence for an elevated muse—qualities that align with the spirit of the ghazal even if the form is slightly adapted. The poem also hints at the idea of a hidden or unseen presence (""invisible auditor I fear""), which is a metaphorically rich theme often explored in ghazals.",Reverence,0.78,False
“Where did the handsome beloved go?”,"Where did the handsome beloved go?
I wonder, where did that tall, shapely cypress tree go?

He spread his light among us like a candle.
Where did he go? So strange, where did he go without me?

All day long my heart trembles like a leaf.
All alone at midnight, where did that beloved go?

Go to the road, and ask any passing traveler — 
That soul-stirring companion, where did he go?

Go to the garden, and ask the gardener — 
That tall, shapely rose stem, where did he go?

Go to the rooftop, and ask the watchman — 
That unique sultan, where did he go?

Like a madman, I search in the meadows!
That deer in the meadows, where did he go?

My tearful eyes overflow like a river — 
That pearl in the vast sea, where did he go?

All night long, I implore both moon and Venus — 
That lovely face, like a moon, where did he go?

If he is mine, why is he with others?
Since he’s not here, to what “there” did he go?

If his heart and soul are joined with God,
And he left this realm of earth and water, where did he go?

Tell me clearly, Shams of Tabriz,
Of whom it is said, “The sun never dies” — where did he go?
 
 Translated from the Persian",Jalal al-Din Rumi,ghazal,Ghazal,"This poem is a ghazal because it is composed of couplets (tercets) with a strong focus on the beloved as a central motif, rhetorical questions, and a refrain-like quality in its repeated inquiry “Where did he go?” The structure often found in ghazals is the couplet (or sometimes tercet) with an emphasis on emotional and philosophical exploration, which matches the tone and form of this poem. The themes of longing, separation, and searching are common in ghazals, further supporting this classification.",Inquiry,0.95,False
"“No, I wasn’t meant to love and be loved”","No, I wasn’t meant to love and be loved.   
If I’d lived longer, I would have waited longer.   

Knowing you are faithless keeps me alive and hungry.   
Knowing you faithful would kill me with joy.   

Delicate are you, and your vows are delicate, too,   
so easily do they break.   

You are a laconic marksman. You leave me   
not dead but perpetually dying.   

I want my friends to heal me, succor me.   
Instead, I get analysis.   

Conflagrations that would make stones drip blood   
are campfires compared to my anguish.   

Two-headed, inescapable anguish!—
Love’s anguish or the anguish of time.   

Another dark, severing, incommunicable night.   
Death would be fine, if I only died once.   

I would have liked a solitary death,   
not this lavish funeral, this grave anyone can visit.   

You are mystical, Ghalib, and, also, you speak beautifully.   
Are you a saint, or just drunk as usual?",Mirza Asadullah Khan Ghalib,ghazal,Blues Poem,"This poem is a blues poem because it expresses sorrow, lamentation, and personal hardship in the first person, using repetitive and rhythmic patterns typical of the blues tradition. Phrases like ""I want my friends to heal me, succor me / Instead, I get analysis,"" and the focus on pain and emotional suffering align with the themes and structure of classic blues poetry. The poem also employs an AAB rhyme scheme in its stanzas and a conversational, confessional tone common to the blues form.",Lament,0.89,False
All American Ghazal,"On our first date, I admit I haven’t left since arriving to this country.
So, of course, being dramatic, I became a poet’s country.

Years after divorce, I lost a custody fight, in part, because of
my status—so, indeed, a free country.

Pho in the South End. Oxtail in Queens. Tinned fish. Cannoli in
Little Italy. No-contact delivery. The food of my country.

Fifty or so provincial patches of grass—upon closer look—leaves. 
The edge, where people live, frays in this country.

“We can work on human rights while negotiating,” the Senator 
says, “the prospects of nuclear war in our country.”

I was born in the Philippines, so my native tongue is partisanship.
I’m many parties. I’m made impartial by my country—

a professional, ministerial office holder. A biblical fortune.
It’s libidinal, the we in the ballad that makes a land.

It’s provisional, the line that cuts through sand. I is a line
with a place to stand. I is a framing device. What good is a nation. 

Parts of speech like mine fragment. Cut. Clean. I’m rightless 
but I have capital. Charge me, Dujie, precis a person. ",Dujie Tahat,ghazal,Blues Poem,"This poem is a blues poem because it expresses sorrow or lamentation over personal and societal struggles (loss, displacement, political conflict, feelings of dispossession and identity), which are hallmarks of the blues tradition. The poem also uses repetitive, reflective phrasing (""I am many parties...I'm made impartial by my country...What good is a nation"") and a conversational, confessional tone that aligns with the style of the blues. The speaker’s voice is raw and introspective, typical of the blues form that originated in African American communities to convey hardship and resilience.",Lament,0.89,False
Even The Rain,"What will suffice for a true-love knot? Even the rain?

But he has bought grief’s lottery, bought even the rain.

“Our glosses / wanting in this world”—“Can you remember?”

Anyone!—“when we thought / the poets taught” even the rain?

After we died—That was it!—God left us in the dark.

And as we forgot the dark, we forgot even the rain.

Drought was over. Where was I? Drinks were on the house.

For mixers, my love, you’d poured—what?—even the rain.

Of this pear-shaped orange’s perfumed twist, I will say:

Extract Vermouth from the bergamot, even the rain.

How did the Enemy love you—with earth? air? and fire?

He held just one thing back till he got even: the rain.

This is God’s site for a new house of executions?

You swear by the Bible, Despot, even the rain?

After the bones—those flowers—this was found in the urn:

The lost river, ashes from the ghat, even the rain.

What was I to prophesy if not the end of the world?

A salt pillar for the lonely lot, even the rain.

How the air raged, desperate, streaming the earth with flames—

To help burn down my house, Fire sought even the rain.

He would raze the mountains, he would level the waves;

he would, to smooth his epic plot, even the rain.

New York belongs at daybreak to only me, just me—

To make this claim Memory’s brought even the rain.

They’ve found the knife that killed you, but whose prints are these?

No one has such small hands, Shahid, not even the rain.",Agha Shahid Ali,ghazal,Ghazal,"This poem is a ghazal because it features a recurring thematic refrain or motif (referred to multiple times as ""even the rain""), which is a defining characteristic of the ghazal. Ghazals often weave a central image or phrase throughout the poem, appearing in each couplet or stanza in slightly varied forms. The poem also shows the typical ghazal structure of alternating rhymes and a loose narrative that meanders towards a philosophical or existential conclusion. The language is reflective and often meditative, with a conversational tone that aligns with the tradition of the ghazal.",Refrain,0.89,False
