pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
2,adjacent,"i, mask, small, wear",4,10,behind the masks i 've worn since i was small,True,55,lgbtq+,True,figurative
3,adjacent,,0,0,,False,55,lgbtq+,True,figurative
4,adjacent,"ask, grandkid, mother, my, plan",5,8,my mother asks when grandkids plan to call,True,55,lgbtq+,True,figurative
5,adjacent,my,1,1,my,True,55,lgbtq+,True,figurative
6,adjacent,"bright, flag, my, rainbow, wall, wave",6,8,while rainbow flags wave bright beyond my wall,True,55,lgbtq+,True,figurative
7,adjacent,my,1,1,my,True,55,lgbtq+,True,figurative
8,adjacent,"catch, i, inside, my, practice, that, throat, word",8,8,i practice words that catch inside my throat,True,55,lgbtq+,True,figurative
9,adjacent,i,1,1,i,True,55,lgbtq+,True,figurative
10,adjacent,"devote, frightened, i, like, prayer",5,9,like prayers i 'm still too frightened to devote,True,55,lgbtq+,True,figurative
11,adjacent,,0,1,to,False,55,lgbtq+,True,figurative
12,adjacent,"heart, lover, my, understand, who",5,7,to lovers who might understand my heart,True,55,lgbtq+,True,figurative
13,adjacent,,0,1,to,False,55,lgbtq+,True,figurative
14,adjacent,,0,1,the,False,55,lgbtq+,True,figurative
15,first_last,"closet, door, hide, i, swing, wide",6,9,the closet door swings wide but still i hide,True,55,lgbtq+,True,figurative
0,adjacent,"come, i, my, practice, reflection",5,7,i practice coming out to my reflection,True,56,lgbtq+,True,specific
1,adjacent,i,1,1,i,True,56,lgbtq+,True,specific
2,adjacent,"i, know, mirror, word",4,9,the mirror knows the words i can not say,True,56,lgbtq+,True,specific
3,adjacent,,0,1,the,False,56,lgbtq+,True,specific
4,adjacent,"dinner, hall, my, parent",4,8,my parents call for dinner down the hall,True,56,lgbtq+,True,specific
5,adjacent,my,1,1,my,True,56,lgbtq+,True,specific
6,adjacent,"i, my, straighten, swallow, truth",5,8,i straighten up and swallow all my truth,True,56,lgbtq+,True,specific
7,adjacent,my,1,1,my,True,56,lgbtq+,True,specific
8,adjacent,"bathroom, courage, flicker, light, like, my",6,7,the bathroom light flickers like my courage,True,56,lgbtq+,True,specific
9,adjacent,like,1,1,like,True,56,lgbtq+,True,specific
10,adjacent,"dinner, i, like, secret, taste",5,8,each dinner tastes like secrets i still keep,True,56,lgbtq+,True,specific
11,adjacent,i,1,1,i,True,56,lgbtq+,True,specific
12,adjacent,i,1,1,i,True,56,lgbtq+,True,specific
13,first_last,"come, i, my, practice, reflection",5,7,i practice coming out to my reflection,True,56,lgbtq+,True,specific
0,adjacent,"alive, forget, i, stay",4,7,i keep forgetting how to stay alive,True,57,living,True,general
1,adjacent,,0,0,,False,57,living,True,general
2,adjacent,"borrow, breath, feel, gift, like",5,8,when every breath feels like a borrowed gift,True,57,living,True,general
3,adjacent,,0,1,a,False,57,living,True,general
4,adjacent,"eye, mirror, show, stranger, weary",5,8,the mirror shows a stranger 's weary eyes,True,57,living,True,general
5,adjacent,,0,1,the,False,57,living,True,general
6,adjacent,"ache, learn, silent, smile, who",5,9,who learned to smile through all the silent ache,True,57,living,True,general
7,adjacent,,0,0,,False,57,living,True,general
8,adjacent,"away, slip",2,7,of being here when others slip away,True,57,living,True,general
9,adjacent,,0,0,,False,57,living,True,general
10,adjacent,"bed, find, i, light, morning, my",6,9,the morning light still finds me in my bed,True,57,living,True,general
11,adjacent,i,1,1,the,True,57,living,True,general
12,adjacent,"dark, despite, i, pull, that, weight",6,9,despite the weight that pulls me toward the dark,True,57,living,True,general
13,adjacent,i,1,0,,True,57,living,True,general
14,adjacent,i,1,1,i,True,57,living,True,general
15,first_last,"alive, forget, i, stay",4,7,i keep forgetting how to stay alive,True,57,living,True,general
0,adjacent,we,1,1,the,True,58,living,True,figurative
1,adjacent,"dark, it, morning, prove, we",5,10,each morning proves we 've made it through the dark,True,58,living,True,figurative
2,adjacent,,0,0,,False,58,living,True,figurative
3,adjacent,"bone, our, whisper, yesterday",4,7,though yesterday still whispers in our bones,True,58,living,True,figurative
4,adjacent,,0,0,,False,58,living,True,figurative
5,adjacent,"bring, face, light, rise, we, what",6,9,we rise again to face what light will bring,True,58,living,True,figurative
6,adjacent,we,1,1,we,True,58,living,True,figurative
7,adjacent,"coffee, like, prayer, steam, we",5,9,the coffee steams like prayers we can not say,True,58,living,True,figurative
8,adjacent,we,1,1,we,True,58,living,True,figurative
9,adjacent,"mirror, stranger, we",3,7,while mirrors show us strangers we became,True,58,living,True,figurative
10,adjacent,we,1,1,we,True,58,living,True,figurative
11,adjacent,"dress, hope, ourselves, thin, we, wear",6,10,we dress ourselves in hope we 've worn too thin,True,58,living,True,figurative
12,adjacent,we,1,1,we,True,58,living,True,figurative
13,adjacent,"belong, outside, pretend, walk, we",5,6,and walk outside pretending we belong,True,58,living,True,figurative
14,adjacent,we,1,1,we,True,58,living,True,figurative
15,first_last,"breath, know, truth, we",4,7,breath becomes the only truth we know,True,58,living,True,figurative
0,adjacent,like,1,1,the,True,59,living,True,specific
1,adjacent,"i, like, say, word",4,9,like all the words i should have said before,True,59,living,True,specific
2,adjacent,,0,0,,False,59,living,True,specific
3,adjacent,"box, cardboard, pack, silence, you, your",6,7,you packed your silence into cardboard boxes,True,59,living,True,specific
4,adjacent,your,1,1,your,True,59,living,True,specific
5,adjacent,"echo, laughter, live, your",4,8,left echoes where your laughter used to live,True,59,living,True,specific
6,adjacent,,0,0,,False,59,living,True,specific
7,adjacent,"day, kitchen, remember, wall, well",5,6,the kitchen walls remember better days,True,59,living,True,specific
8,adjacent,,0,1,the,False,59,living,True,specific
9,adjacent,"hand, mug, reach, set",4,10,when two sets of hands reached for the same mug,True,59,living,True,specific
10,adjacent,,0,0,,False,59,living,True,specific
11,adjacent,"drink, i, like, think, this",5,9,i never thought i 'd drink alone like this,True,59,living,True,specific
12,adjacent,like,1,1,like,True,59,living,True,specific
13,first_last,"cup, like, my, prayer, rise, steam, unheard",7,9,the steam rises from my cup like prayers unheard,True,59,living,True,specific
0,adjacent,"build, house, like, love, our, sand, we",7,9,we built our love like houses made of sand,True,60,love,True,general
1,adjacent,our,1,1,our,True,60,love,True,general
2,adjacent,"away, come, our, plan, tide, wash",6,9,the tide came in and washed away our plans,True,60,love,True,general
3,adjacent,,0,1,in,False,60,love,True,general
4,adjacent,"hand, i, my, nothing, stand",5,9,now i stand here with nothing in my hands,True,60,love,True,general
5,adjacent,i,1,1,with,True,60,love,True,general
6,adjacent,"echo, i, leave, voice, you, your",6,9,you left me with the echoes of your voice,True,60,love,True,general
7,adjacent,i,1,0,,True,60,love,True,general
8,adjacent,"choice, i, we, wonder",4,8,i wonder if we ever had a choice,True,60,love,True,general
9,adjacent,,0,0,,False,60,love,True,general
10,adjacent,"goodbye, learn, love, mean",4,8,to love means learning how to say goodbye,True,60,love,True,general
11,adjacent,,0,1,to,False,60,love,True,general
12,adjacent,"cry, tear, truth, we, worth",5,10,some truths are worth the tears we have to cry,True,60,love,True,general
13,adjacent,we,1,1,we,True,60,love,True,general
14,first_last,"build, house, like, love, our, sand, we",7,9,we built our love like houses made of sand,True,60,love,True,general
0,adjacent,"hear, heart, language, mind, speak",5,9,the heart speaks languages the mind ca n't hear,True,61,love,True,figurative
1,adjacent,,0,1,the,False,61,love,True,figurative
2,adjacent,"deep, fear, hold, like, silence, sound, what",7,8,what sounds like silence holds the deepest fear,True,61,love,True,figurative
3,adjacent,,0,0,,False,61,love,True,figurative
4,adjacent,"absence, echo, louder, you, your",5,8,your absence echoes louder than you 're here,True,61,love,True,figurative
5,adjacent,,0,0,,False,61,love,True,figurative
6,adjacent,"finger, ghost, i, my, skin, trace",6,9,i trace the ghost of fingers on my skin,True,61,love,True,figurative
7,adjacent,,0,1,the,False,61,love,True,figurative
8,adjacent,"body, keep, score, what",4,9,the body keeps the score of what has been,True,61,love,True,figurative
9,adjacent,,0,0,,False,61,love,True,figurative
10,adjacent,"dance, ground, soul, touch",4,8,two souls can dance while never touching ground,True,61,love,True,figurative
11,adjacent,,0,0,,False,61,love,True,figurative
12,adjacent,"crowded, find, i, room, search, you",6,10,in crowded rooms i search but you 're not found,True,61,love,True,figurative
13,adjacent,,0,0,,False,61,love,True,figurative
14,first_last,"hear, heart, language, mind, speak",5,9,the heart speaks languages the mind ca n't hear,True,61,love,True,figurative
0,adjacent,"barefoot, dance, kitchen, slow, tile, we",6,8,we slow danced barefoot on the kitchen tiles,True,62,love,True,specific
1,adjacent,,0,1,the,False,62,love,True,specific
2,adjacent,"abandon, machine, sock, washing, your",5,7,your socks abandoned by the washing machine,True,62,love,True,specific
3,adjacent,,0,0,,False,62,love,True,specific
4,adjacent,"like, long, promise, we",4,8,like promises we could n't keep much longer,True,62,love,True,specific
5,adjacent,,0,0,,False,62,love,True,specific
6,adjacent,"final, our, play, radio, song, time",6,8,the radio played our song one final time,True,62,love,True,specific
7,adjacent,,0,0,,False,62,love,True,specific
8,adjacent,"it, neither, reach, turn, we",5,9,though neither of us reached to turn it off,True,62,love,True,specific
9,adjacent,we,1,0,,True,62,love,True,specific
10,adjacent,"close, doubt, hold, we",4,8,we held each other close against the doubt,True,62,love,True,specific
11,adjacent,,0,0,,False,62,love,True,specific
12,adjacent,"chest, drum, heartbeat, my, secret, your",6,7,your heartbeat drumming secrets on my chest,True,62,love,True,specific
13,adjacent,,0,0,,False,62,love,True,specific
14,adjacent,"goodbye, i, memorize, rhythm",4,6,i memorized the rhythm of goodbye,True,62,love,True,specific
15,adjacent,,0,1,the,False,62,love,True,specific
16,first_last,"barefoot, dance, kitchen, slow, tile, we",6,8,we slow danced barefoot on the kitchen tiles,True,62,love,True,specific
0,adjacent,"fear, lose, love, thing, we",5,9,when love becomes the thing we fear to lose,True,63,love death avoidance,True,general
1,adjacent,we,1,1,we,True,63,love death avoidance,True,general
2,adjacent,"build, excuse, our, silence, wall, we",6,8,we build our walls from silence and excuse,True,63,love death avoidance,True,general
3,adjacent,our,1,1,our,True,63,love death avoidance,True,general
4,adjacent,"bruise, distance, heart, keep, our, pretend",6,7,pretending distance keeps our hearts from bruise,True,63,love death avoidance,True,general
5,adjacent,,0,0,,False,63,love death avoidance,True,general
6,adjacent,"choose, ending, practice, we",4,7,we practice endings we will never choose,True,63,love death avoidance,True,general
7,adjacent,,0,0,,False,63,love death avoidance,True,general
8,adjacent,"actor, cue, grief, like, need, rehearse, their",7,7,rehearsing grief like actors need their cues,True,63,love death avoidance,True,general
9,adjacent,,0,0,,False,63,love death avoidance,True,general
10,adjacent,"goodbye, memorize, script, we",4,7,we memorize the script of last goodbyes,True,63,love death avoidance,True,general
11,adjacent,,0,0,,False,63,love death avoidance,True,general
12,adjacent,"arm, tangle, wake",3,9,yet still wake tangled in each other 's arms,True,63,love death avoidance,True,general
13,adjacent,,0,0,,False,63,love death avoidance,True,general
14,first_last,"fear, lose, love, thing, we",5,9,when love becomes the thing we fear to lose,True,63,love death avoidance,True,general
0,adjacent,,0,1,the,False,64,love death avoidance,True,figurative
1,adjacent,"burn, our, speak, that, tongue, we, word",7,9,we never speak the words that burn our tongues,True,64,love death avoidance,True,figurative
2,adjacent,we,1,1,we,True,64,love death avoidance,True,figurative
3,adjacent,"fire, instead, it, song, swallow, we",6,7,instead we swallow fire call it song,True,64,love death avoidance,True,figurative
4,adjacent,we,1,1,we,True,64,love death avoidance,True,figurative
5,adjacent,"erase, hum, melody, we, year",5,6,the melody we hum erases years,True,64,love death avoidance,True,figurative
6,adjacent,,0,0,,False,64,love death avoidance,True,figurative
7,adjacent,"fear, grow, loud, our, silence",5,7,but silence grows louder than our fears,True,64,love death avoidance,True,figurative
8,adjacent,,0,0,,False,64,love death avoidance,True,figurative
9,adjacent,"day, goodbye, practice, say, we",5,7,each day we practice not saying goodbye,True,64,love death avoidance,True,figurative
10,adjacent,we,1,1,we,True,64,love death avoidance,True,figurative
11,adjacent,"breath, die, hold, our, season, watch, we",7,9,we hold our breath and watch the seasons die,True,64,love death avoidance,True,figurative
12,adjacent,we,1,1,the,True,64,love death avoidance,True,figurative
13,adjacent,"dance, teach, time, truth, we",5,8,time teaches us to dance around the truth,True,64,love death avoidance,True,figurative
14,adjacent,we,1,1,the,True,64,love death avoidance,True,figurative
15,first_last,,0,1,the,False,64,love death avoidance,True,figurative
0,adjacent,"catch, fluorescent, light, ring, wedding, your",6,6,your wedding ring catches fluorescent light,True,65,love death avoidance,True,specific
1,adjacent,,0,0,,False,65,love death avoidance,True,specific
2,adjacent,"ask, family, i, lie, nurse",5,9,the nurse asks if i 'm family i lie,True,65,love death avoidance,True,specific
3,adjacent,,0,0,,False,65,love death avoidance,True,specific
4,adjacent,"come, love, secret, this, year",5,8,twenty years of secret love comes to this,True,65,love death avoidance,True,specific
5,adjacent,,0,0,,False,65,love death avoidance,True,specific
6,adjacent,"breathe, hand, hold, machine, wife, you, your",7,10,your wife holds your hand while machines breathe for you,True,65,love death avoidance,True,specific
7,adjacent,your,1,1,your,True,65,love death avoidance,True,specific
8,adjacent,"face, i, memorize, room, your",5,8,i memorize your face from across the room,True,65,love death avoidance,True,specific
9,adjacent,,0,1,the,False,65,love death avoidance,True,specific
10,adjacent,"doctor, speak, time, whisper",4,7,the doctor speaks in whispers about time,True,65,love death avoidance,True,specific
11,adjacent,,0,0,,False,65,love death avoidance,True,specific
12,adjacent,"goodbye, i, leave, wake, you",5,7,i leave before you wake before goodbyes,True,65,love death avoidance,True,specific
13,adjacent,,0,0,,False,65,love death avoidance,True,specific
14,first_last,"catch, fluorescent, light, ring, wedding, your",6,6,your wedding ring catches fluorescent light,True,65,love death avoidance,True,specific
0,adjacent,"drawer, fade, photograph, yellow",4,7,the photographs fade yellow in the drawer,True,66,memory & nostalgia,True,general
1,adjacent,,0,0,,False,66,memory & nostalgia,True,general
2,adjacent,"bright, coin, face, spend, their, we",6,9,their faces bright as coins we 'll never spend,True,66,memory & nostalgia,True,general
3,adjacent,,0,0,,False,66,memory & nostalgia,True,general
4,adjacent,"closing, fist, hoard, i, like, moment",6,8,i hoard each moment like a closing fist,True,66,memory & nostalgia,True,general
5,adjacent,,0,0,,False,66,memory & nostalgia,True,general
6,adjacent,"finger, leak, memory",3,6,but memory leaks through fingers anyway,True,66,memory & nostalgia,True,general
7,adjacent,,0,0,,False,66,memory & nostalgia,True,general
8,adjacent,"her, his, laugh, perfume, scent, their, touch",7,9,the scent of her perfume his laugh their touch,True,66,memory & nostalgia,True,general
9,adjacent,,0,1,the,False,66,memory & nostalgia,True,general
10,adjacent,"ghost, haunt, hour, my, that, wake",6,8,becomes the ghost that haunts my waking hours,True,66,memory & nostalgia,True,general
11,adjacent,,0,1,the,False,66,memory & nostalgia,True,general
12,adjacent,"i, search, stranger, street, they",5,9,i search for them in strangers on the street,True,66,memory & nostalgia,True,general
13,adjacent,,0,1,the,False,66,memory & nostalgia,True,general
14,adjacent,"balm, both, know, my, past, wound",6,9,knowing the past is both my wound and balm,True,66,memory & nostalgia,True,general
15,adjacent,,0,1,the,False,66,memory & nostalgia,True,general
16,first_last,"drawer, fade, photograph, yellow",4,7,the photographs fade yellow in the drawer,True,66,memory & nostalgia,True,general
0,adjacent,"photograph, year, yellow",3,7,the photographs have yellowed with the years,True,67,memory & nostalgia,True,figurative
1,adjacent,,0,0,,False,67,memory & nostalgia,True,figurative
2,adjacent,"disappear, permanent, what",3,6,what once seemed permanent now disappears,True,67,memory & nostalgia,True,figurative
3,adjacent,,0,0,,False,67,memory & nostalgia,True,figurative
4,adjacent,"echo, hall, laughter, your",4,7,your laughter echoes through these empty halls,True,67,memory & nostalgia,True,figurative
5,adjacent,,0,0,,False,67,memory & nostalgia,True,figurative
6,adjacent,"call, silence, that, thing",4,8,but silence is the only thing that calls,True,67,memory & nostalgia,True,figurative
7,adjacent,,0,1,the,False,67,memory & nostalgia,True,figurative
8,adjacent,"hand, i, outline, trace, your",5,9,i trace the outlines where your hands once were,True,67,memory & nostalgia,True,figurative
9,adjacent,,0,1,the,False,67,memory & nostalgia,True,figurative
10,adjacent,"blur, clear, past, present",4,8,the present blurs while past becomes more clear,True,67,memory & nostalgia,True,figurative
11,adjacent,,0,0,,False,67,memory & nostalgia,True,figurative
12,adjacent,,0,0,,False,67,memory & nostalgia,True,figurative
13,first_last,"photograph, year, yellow",3,7,the photographs have yellowed with the years,True,67,memory & nostalgia,True,figurative
0,adjacent,"careful, cup, dented, hand, her, hold",6,8,the dented cup still holds her careful hands,True,68,memory & nostalgia,True,specific
1,adjacent,,0,0,,False,68,memory & nostalgia,True,specific
2,adjacent,"i, reach, she, understand, what",5,8,now i reach for what she 'd understand,True,68,memory & nostalgia,True,specific
3,adjacent,i,1,1,i,True,68,memory & nostalgia,True,specific
4,adjacent,"her, i, inside, plan, recipe, voice",6,8,her voice inside each recipe i 've planned,True,68,memory & nostalgia,True,specific
5,adjacent,,0,0,,False,68,memory & nostalgia,True,specific
6,adjacent,"bread, rise, steam, whisper",4,8,still whispers through the steam of rising bread,True,68,memory & nostalgia,True,specific
7,adjacent,,0,0,,False,68,memory & nostalgia,True,specific
8,adjacent,"dead, long, pass, she, year",5,10,though ten long years have passed since she was dead,True,68,memory & nostalgia,True,specific
9,adjacent,she,1,1,she,True,68,memory & nostalgia,True,specific
10,adjacent,"flour, i, like, measure, she, teach",6,8,i measure flour like she taught me to,True,68,memory & nostalgia,True,specific
11,adjacent,,0,0,,False,68,memory & nostalgia,True,specific
12,adjacent,"cup, prayer, something, teaspoon, true",5,8,each cup a prayer each teaspoon something true,True,68,memory & nostalgia,True,specific
13,adjacent,cup,1,1,cup,True,68,memory & nostalgia,True,specific
14,first_last,"careful, cup, dented, hand, her, hold",6,8,the dented cup still holds her careful hands,True,68,memory & nostalgia,True,specific
0,adjacent,"different, language, need, speak, we",5,7,we speak in different languages of need,True,69,men & women,True,general
1,adjacent,,0,0,,False,69,men & women,True,general
2,adjacent,"hold, i, read, silence, word, your",6,9,your silence holds the words i can not read,True,69,men & women,True,general
3,adjacent,i,1,1,i,True,69,men & women,True,general
4,adjacent,"breathe, i, offer, require, space, touch, you",7,9,i offer touch when you require space to breathe,True,69,men & women,True,general
5,adjacent,"i, you",2,1,i,True,69,men & women,True,general
6,adjacent,"believe, build, i, wall, what, you, your",7,10,you build your walls from what i ca n't believe,True,69,men & women,True,general
7,adjacent,,0,1,from,False,69,men & women,True,general
8,adjacent,"dance, run, truth, we",4,9,we dance around the truth we 're running from,True,69,men & women,True,general
9,adjacent,,0,0,,False,69,men & women,True,general
10,adjacent,"bed, come, share, stranger, undone",5,7,two strangers sharing one bed coming undone,True,69,men & women,True,general
11,adjacent,,0,0,,False,69,men & women,True,general
12,adjacent,"light, lose, morning, reveal, we, what",6,8,the morning light reveals what we have lost,True,69,men & women,True,general
13,adjacent,we,1,1,we,True,69,men & women,True,general
14,first_last,"different, language, need, speak, we",5,7,we speak in different languages of need,True,69,men & women,True,general
0,adjacent,"different, language, need, speak, we",5,7,we speak in different languages of need,True,70,men & women,True,figurative
1,adjacent,we,1,0,,True,70,men & women,True,figurative
2,adjacent,"greed, grow, silent, space, we",5,8,the silent space between us grows with greed,True,70,men & women,True,figurative
3,adjacent,,0,1,the,False,70,men & women,True,figurative
4,adjacent,"deed, tender, touch, your",4,7,your tender touch becomes the only deed,True,70,men & women,True,figurative
5,adjacent,,0,0,,False,70,men & women,True,figurative
6,adjacent,"creed, i, my, retreat, stubborn",5,7,while i retreat into my stubborn creed,True,70,men & women,True,figurative
7,adjacent,,0,0,,False,70,men & women,True,figurative
8,adjacent,"forget, hope, like, plant, seed, you, your",7,8,you plant your hopes like some forgotten seed,True,70,men & women,True,figurative
9,adjacent,,0,0,,False,70,men & women,True,figurative
10,adjacent,"fail, i, intercede, they, watch, wither",6,7,i watch them wither fail to intercede,True,70,men & women,True,figurative
11,adjacent,,0,1,to,False,70,men & women,True,figurative
12,adjacent,"bleed, circle, learn, we",4,9,we circle back to where we learned to bleed,True,70,men & women,True,figurative
13,adjacent,we,1,1,we,True,70,men & women,True,figurative
14,first_last,"different, language, need, speak, we",5,7,we speak in different languages of need,True,70,men & women,True,figurative
0,adjacent,"coffee, cup, her, his, key, leave, she",7,8,she leaves her coffee cup beside his keys,True,71,men & women,True,specific
1,adjacent,,0,0,,False,71,men & women,True,specific
2,adjacent,"border, cross, mark, small, token, we",6,9,small tokens mark the borders we do n't cross,True,71,men & women,True,specific
3,adjacent,,0,1,the,False,71,men & women,True,specific
4,adjacent,"fold, he, news, paper, read, she",6,9,he folds the paper where she reads the news,True,71,men & women,True,specific
5,adjacent,,0,0,,False,71,men & women,True,specific
6,adjacent,"avoid, dance, know, morning, neither, their, what",7,7,their morning dance avoids what neither knows,True,71,men & women,True,specific
7,adjacent,,0,0,,False,71,men & women,True,specific
8,adjacent,"hold, silence, weight, word",4,8,the silence holds more weight than any words,True,71,men & women,True,specific
9,adjacent,,0,0,,False,71,men & women,True,specific
10,adjacent,"all, stretch, they",3,8,between them stretches all they can not say,True,71,men & women,True,specific
11,adjacent,,0,1,not,False,71,men & women,True,specific
12,adjacent,"heart, people, share, space, their",5,8,two people sharing space but not their hearts,True,71,men & women,True,specific
13,adjacent,,0,0,,False,71,men & women,True,specific
14,first_last,"coffee, cup, her, his, key, leave, she",7,8,she leaves her coffee cup beside his keys,True,71,men & women,True,specific
0,adjacent,"crack, god, old, stone, whisper",5,9,the old gods whisper through the cracks in stone,True,72,mythology & folklore,True,general
1,adjacent,,0,0,,False,72,mythology & folklore,True,general
2,adjacent,"ancient, bone, carve, keep, name, new, their, we",8,9,we carved new names but kept their ancient bone,True,72,mythology & folklore,True,general
3,adjacent,we,1,1,we,True,72,mythology & folklore,True,general
4,adjacent,"fairy, hide, know, tale, truth, we",6,9,each fairy tale hides truths we 've always known,True,72,mythology & folklore,True,general
5,adjacent,,0,0,,False,72,mythology & folklore,True,general
6,adjacent,"child, prowl, walk, wolf",4,8,the wolf still prowls where children walk alone,True,72,mythology & folklore,True,general
7,adjacent,,0,0,,False,72,mythology & folklore,True,general
8,adjacent,"fear, feed, fully, grow, our, story, we",7,8,we feed our fears with stories fully grown,True,72,mythology & folklore,True,general
9,adjacent,,0,0,,False,72,mythology & folklore,True,general
10,adjacent,"dark, heart, myth, survive, tone",5,9,the myths survive in every heart 's dark tone,True,72,mythology & folklore,True,general
11,adjacent,,0,0,,False,72,mythology & folklore,True,general
12,adjacent,"all, legend, rise, sow, we, what",6,9,what legends rise from all we 've never sown,True,72,mythology & folklore,True,general
13,adjacent,,0,0,,False,72,mythology & folklore,True,general
14,first_last,"crack, god, old, stone, whisper",5,9,the old gods whisper through the cracks in stone,True,72,mythology & folklore,True,general
0,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
1,adjacent,"breathe, grandmother, our, story, whisper",5,7,the stories our grandmothers whispered still breathe,True,73,mythology & folklore,True,figurative
2,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
3,adjacent,"leave, refuse, shadow, that",4,7,in every shadow that refuses to leave,True,73,mythology & folklore,True,figurative
4,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
5,adjacent,"believe, carry, we, weight, what",5,8,we carry the weight of what we believe,True,73,mythology & folklore,True,figurative
6,adjacent,we,1,1,we,True,73,mythology & folklore,True,figurative
7,adjacent,"ancient, deceive, that, truth, we",5,8,these ancient truths that we ca n't deceive,True,73,mythology & folklore,True,figurative
8,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
9,adjacent,"blood, forget, grief, like, live, our",6,7,live in our blood like forgotten grief,True,73,mythology & folklore,True,figurative
10,adjacent,our,1,1,our,True,73,mythology & folklore,True,figurative
11,adjacent,"god, hunger, our, relief",4,7,the gods still hunger for our relief,True,73,mythology & folklore,True,figurative
12,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
13,adjacent,"bring, offer, prayer, reprieve, we",5,7,each prayer we offer brings no reprieve,True,73,mythology & folklore,True,figurative
14,adjacent,,0,0,,False,73,mythology & folklore,True,figurative
15,first_last,,0,0,,False,73,mythology & folklore,True,figurative
0,adjacent,her,1,1,her,True,74,mythology & folklore,True,specific
1,adjacent,"her, hold, secret, sharp, song, tooth",6,8,the teeth held secrets sharper than her song,True,74,mythology & folklore,True,specific
2,adjacent,,0,1,the,False,74,mythology & folklore,True,specific
3,adjacent,"deep, hair, hum, strand",4,9,each strand of hair still humming with the deep,True,74,mythology & folklore,True,specific
4,adjacent,,0,1,of,False,74,mythology & folklore,True,specific
5,adjacent,"bone, kingdom, pull, sailor",4,8,pulled sailors down to kingdoms made of bone,True,74,mythology & folklore,True,specific
6,adjacent,,0,0,,False,74,mythology & folklore,True,specific
7,adjacent,"brush, i, mother, my, see, silver",6,9,but i just saw my mother 's silver brush,True,74,mythology & folklore,True,specific
8,adjacent,,0,0,,False,74,mythology & folklore,True,specific
9,adjacent,"abandon, broken, like, shore, vow",5,7,abandoned on the shore like broken vows,True,74,mythology & folklore,True,specific
10,adjacent,,0,1,the,False,74,mythology & folklore,True,specific
11,adjacent,"afloat, myth, ourselves, stay, tell, we",6,8,the myths we tell ourselves to stay afloat,True,74,mythology & folklore,True,specific
12,adjacent,,0,0,,False,74,mythology & folklore,True,specific
13,adjacent,"dissolve, foam, like, lip, our, sea, trembling",7,8,dissolve like sea foam on our trembling lips,True,74,mythology & folklore,True,specific
14,adjacent,,0,0,,False,74,mythology & folklore,True,specific
15,first_last,"beneath, comb, find, her, i, jagged, rock",7,8,i found her comb beneath the jagged rocks,True,74,mythology & folklore,True,specific
0,adjacent,"beneath, hold, its, river, secret, skin",6,7,the river holds secrets beneath its skin,True,75,nature,True,general
1,adjacent,,0,0,,False,75,nature,True,general
2,adjacent,"bury, water, we, what, whisper",5,7,waters whisper what we 've buried within,True,75,nature,True,general
3,adjacent,,0,0,,False,75,nature,True,general
4,adjacent,"begin, remember, sorrow, stone",4,6,each stone remembers where sorrow begins,True,75,nature,True,general
5,adjacent,,0,0,,False,75,nature,True,general
6,adjacent,"ancestral, echo, forest, hymn",4,6,the forest echoes with ancestral hymns,True,75,nature,True,general
7,adjacent,,0,0,,False,75,nature,True,general
8,adjacent,"fall, leaf, like, limb, prayer, weather",6,7,leaves fall like prayers on weathered limbs,True,75,nature,True,general
9,adjacent,,0,0,,False,75,nature,True,general
10,adjacent,"carry, ghost, mist, morning, wind",5,6,wind carries ghosts through morning mist,True,75,nature,True,general
11,adjacent,,0,0,,False,75,nature,True,general
12,adjacent,"branch, know, miss, we, what",5,7,every branch knows what we have missed,True,75,nature,True,general
13,adjacent,,0,0,,False,75,nature,True,general
14,first_last,"beneath, hold, its, river, secret, skin",6,7,the river holds secrets beneath its skin,True,75,nature,True,general
0,adjacent,"breath, flame, hold, its, mountain",5,8,the mountain holds its breath before the flames,True,76,nature,True,figurative
1,adjacent,,0,1,the,False,76,nature,True,figurative
2,adjacent,"prayer, tree, whisper, wind",4,8,each tree a prayer whispered to the wind,True,76,nature,True,figurative
3,adjacent,prayer,1,0,,True,76,nature,True,figurative
4,adjacent,"burn, fast, hear, prayer, they",5,9,but prayers burn faster than they can be heard,True,76,nature,True,figurative
5,adjacent,,0,0,,False,76,nature,True,figurative
6,adjacent,"orange, sky, turn, unspoken, word",5,7,the sky turns orange with unspoken words,True,76,nature,True,figurative
7,adjacent,,0,0,,False,76,nature,True,figurative
8,adjacent,"box, cardboard, i, memory, my, pack",6,7,i pack my memories in cardboard boxes,True,76,nature,True,figurative
9,adjacent,,0,0,,False,76,nature,True,figurative
10,adjacent,"ash, childhood, fall, promise, soft",5,7,while ash falls soft as childhood promises,True,76,nature,True,figurative
11,adjacent,,0,0,,False,76,nature,True,figurative
12,adjacent,"abandon, creek, dry, its, run, stone",6,7,the creek runs dry abandoning its stones,True,76,nature,True,figurative
