subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
home life,True,specific,"The kitchen light flickers under my hand—  
Its hum, a quiet hymn in the night.  

Its hum, a quiet hymn in the night,  
Threads warmth through the cracks of this house.  

Threads warmth through the cracks of this house,  
Where whispers roam and walls remember.  

Where whispers roam and walls remember,  
The table holds stains of lives we’ve eaten.  

The table holds stains of lives we’ve eaten,  
A ring of coffee, left from your morning.  

A ring of coffee, left from your morning,  
Marks time as if it could keep us whole.  

Marks time as if it could keep us whole,  
The kitchen light flickers under my hand.  ","[0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 2 0 0 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 0 0
 0 0 0 2 0]",0.43,0.59,0.41,0.38,0.54,0.47
hope,True,general,"The morning breaks beneath a veil of doubt,  
Its light a shiver crawling through the dark.  

Its light a shiver crawling through the dark,  
A fragile flame igniting winter’s cold.  

A fragile flame igniting winter’s cold,  
I hold it close like breath that wants to leave.  

I hold it close like breath that wants to leave,  
Afraid that yearning teaches loss too well.  

Afraid that yearning teaches loss too well,  
I plant my grief where fields can one day bloom.  

I plant my grief where fields can one day bloom,  
A tender promise whispered to the earth.  

A tender promise whispered to the earth,  
The morning breaks beneath a veil of doubt.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 6 0 0 0 0 2 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.35,0.46,0.45,0.27,0.39,0.38
hope,True,figurative,"I buried a seed in the mouth of the night.  
The soil was dry, with no promise of rain.  

The soil was dry, with no promise of rain.  
Still, I pressed my palms to the earth and waited.  

Still, I pressed my palms to the earth and waited,  
Listening for whispers from roots in the dark.  

Listening for whispers from roots in the dark,  
I dreamed of green rising, though none could be seen.  

I dreamed of green rising, though none could be seen,  
A fragile stem bent toward a nameless light.  

A fragile stem bent toward a nameless light—  
What grows may falter, but it longs to move.  

What grows may falter, but it longs to move.  
I buried a seed in the mouth of the night.  ","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  4  0  0  2  0  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  2  2  0  0
  0  6  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  2  0  4  0  2  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  2  0  0  0  2  0  0  0  0  0]",0.4,0.63,0.51,0.46,0.53,0.5
hope,True,specific,"The candle flickers, faint but fiercely holding on.  
Its light feels fragile, yet it warms the darkest room.  

Its light feels fragile, yet it warms the darkest room,  
A tender flame that pushes shadows into bloom.  

A tender flame that pushes shadows into bloom,  
How small it is—and still it dares defy the gloom.  

How small it is—and still it dares defy the gloom,  
Each match that struck before now whispers through the wound.  

Each match that struck before now whispers through the wound,  
A memory of fire softens what’s been doomed.  

A memory of fire softens what’s been doomed,  
As if the night surrenders when its edges swoon.  

As if the night surrenders when its edges swoon,  
The candle flickers, faint but fiercely holding on.  ","[ 0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  2  0  2  0  6  4  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  4 10  0  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0  0  0  0  0  0]",0.33,0.46,0.26,0.29,0.33,0.34
humor & satire,True,general,"The joke unravels like a thread undone,  
Each laugh a wound disguised as its own balm.  

Each laugh a wound disguised as its own balm,  
A mirror warped, betraying where we ache.  

A mirror warped, betraying where we ache,  
It makes us flinch, then forces us to grin.  

It makes us flinch, then forces us to grin,  
While truth stands wrapped in costumes, sharp and light.  

While truth stands wrapped in costumes, sharp and light,  
Its edge cuts deep, but we still beg for more.  

Its edge cuts deep, but we still beg for more—  
The punchline lands, a bruise beneath the rib.  

The punchline lands, a bruise beneath the rib,  
The joke unravels like a thread undone.  ","[0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 4 0 0 0 0 0 2 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 4 0 0 0 4 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.34,0.36,0.3,0.28,0.33,0.32
humor & satire,True,figurative,"Laughter's a knife cutting silence in the dark.  
Its edge gleams bright, a truth that blurs and bites.  

Its edge gleams bright, a truth that blurs and bites,  
It splits the air, revealing cracks in stone.  

It splits the air, revealing cracks in stone—  
A whisper turned gale, a mask split wide.  

A whisper turned gale, a mask split wide,  
Jokes cradle grief like fire born in frost.  

Jokes cradle grief like fire born in frost,  
They warm, they burn —then leave you cold, alone.  

They warm, they burn —then leave you cold, alone,  
What’s sharp in jest turns blunt in the wrong mouth.  

What’s sharp in jest turns blunt in the wrong mouth,  
Laughter's a knife cutting silence in the dark.  ","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 10  0  0  2  2  0  0  2  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  6  0  4  0  0  0  0  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0]",0.18,0.39,0.34,0.51,0.34,0.35
humor & satire,True,specific,"The joke hung heavy in the room like smoke.  
I watched its warmth dissolve to silent cold.  

I watched its warmth dissolve to silent cold—  
A laugh half-formed can chill a fragile face.  

A laugh half-formed can chill a fragile face,  
Expression stiffening to something sharp.  

Expression stiffening to something sharp,  
A glance can twist the heart like spring-wound gears.  

A glance can twist the heart like spring-wound gears,  
No punchline saves the moment once it slips.  

No punchline saves the moment once it slips,  
The air now brittle as a shattered glass.  

The air now brittle as a shattered glass,  
The joke hung heavy in the room like smoke.  ","[ 0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  2  2  0  0  0  0  0  0  4  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0  4  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.26,0.49,0.38,0.35,0.35,0.37
indoor activities,True,general,"The games we play beneath these quieted roofs—  
A breath caught between shelter and retreat.  

A breath caught between shelter and retreat,  
Soft shadows stretch where sunlight used to meet.  

Soft shadows stretch where sunlight used to meet,  
Stale air hums low, a chorus of defeat.  

Stale air hums low, a chorus of defeat,  
Cards splayed like days we shuffle, incomplete.  

Cards splayed like days we shuffle, incomplete,  
The walls grow tight as if they too compete.  

The walls grow tight as if they too compete,  
A puzzle turned inside, its edges fleet.  

A puzzle turned inside, its edges fleet—  
The games we play beneath these quieted roofs.  ","[0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 4 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.3,0.38,0.33,0.25,0.42,0.34
indoor activities,True,figurative,"I sit in shadows while the rain taps glass.  
Its rhythm urges me to pass the time.  

Its rhythm urges me to pass the time,  
A metronome for thoughts that drift in waves.  

A metronome for thoughts that drift in waves,  
The walls close in; my breath rewinds the hours.  

The walls close in; my breath rewinds the hours,  
Each moment folding like uncreased paper.  

Each moment folding like uncreased paper,  
Blank spaces ache for ink I'll never find.  

Blank spaces ache for ink I'll never find,  
A silence hums where voices used to live.  

A silence hums where voices used to live,  
I sit in shadows while the rain taps glass.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 8 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.26,0.54,0.49,0.46,0.38,0.43
indoor activities,True,specific,"The board sat glowing beneath the kitchen lamp.  
Its corners curled, worn soft by eager hands.  

Its corners curled, worn soft by eager hands,  
Dice rolled like thunder, distant, but full of want.  

Dice rolled like thunder, distant, but full of want,  
Chased by laughter colliding with the walls.  

Chased by laughter colliding with the walls,  
We waited for turns like late-summer rain.  

We waited for turns like late-summer rain,  
The hours swayed, heavy as a vinyl hum.  

The hours swayed, heavy as a vinyl hum,  
Pieces moved—lives rebuilt, forever in flux.  

Pieces moved—lives rebuilt, forever in flux,  
The board sat glowing beneath the kitchen lamp.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 2
 0 0 0 0 0]",0.29,0.47,0.35,0.37,0.37,0.37
life choices,True,general,"Each choice I make leaves echoes in my chest,  
A path unwalked still murmurs through my veins.  

A path unwalked still murmurs through my veins,  
Its whispers trace regret, sharp as a blade.  

Its whispers trace regret, sharp as a blade,  
Yet every turn has carved me where I stand.  

Yet every turn has carved me where I stand,  
Invisible maps etched deep within my palms.  

Invisible maps etched deep within my palms—  
The roads I missed still hum beneath my skin.  

The roads I missed still hum beneath my skin,  
Reminding me of doors I dared not face.  

Reminding me of doors I dared not face,  
Each choice I make leaves echoes in my chest.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0
 0 0 8 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.49,0.39,0.36,0.28,0.4,0.38
life choices,True,figurative,"The path I chose was narrow, dark with bends.  
Each shadow whispered secrets of an end.  

Each shadow whispered secrets of an end.  
I stumbled forward, called it faith, my friend.  

I stumbled forward, called it faith, my friend,  
Though doubt was heavy, harder to defend.  

Though doubt was heavy, harder to defend,  
I craved the light that waited past the bend.  

I craved the light that waited past the bend,  
But feared my stride might break, or never mend.  

But feared my stride might break, or never mend,  
I stumbled still, pretending strength won’t bend.  

I stumbled still, pretending strength won’t bend.  
The path I chose was narrow, dark with bends.  ","[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2
 0 0 0 0 0]",0.44,0.5,0.4,0.31,0.46,0.42
life choices,True,specific,"The road split where the sycamores bent low,  
Two paths whispered beneath the dying light.  

Two paths whispered beneath the dying light,  
One bore the scent of rain, the other of dust.  

One bore the scent of rain, the other of dust—  
Both promised softness, but only one felt true.  

Both promised softness, but only one felt true,  
The gravel hummed, a song my heels once knew.  

The gravel hummed, a song my heels once knew,  
It sang of risk, of ache, of running blind.  

It sang of risk, of ache, of running blind,  
The other path stood mute, though lined in gold.  

The other path stood mute, though lined in gold,  
I lingered there, unsure which pain to love.  

The road split where the sycamores bent low.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  2  0  0  0  1
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0 10  0  4  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 14  1  0  0  2  0  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.37,0.63,0.46,0.38,0.54,0.47
lgbtq+,True,general,"I built my truth, a house against the storm.  
A storm that came with silence, sharp as knives.  

A storm that came with silence, sharp as knives,  
But I held my voice as the thunder rose.  

I held my voice as the thunder rose,  
Fearing the echoes buried me alive.  

Fearing the echoes buried me alive,  
I learned to live where closets steal the light.  

I learned to live where closets steal the light,  
But found the sun in whispers safe and warm.  

I found the sun in whispers safe and warm—  
Love grows despite the fists that hold it down.  

Love grows despite the fists that hold it down.  
I built my truth, a house against the storm.  ","[ 0  0  0  0  2  0  0  2  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  2  0  0  0  2
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  2  0  0  0  0  0  4 12  0  0  0  0  0  2  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  2  0  0  0  0  0]",0.4,0.56,0.43,0.39,0.47,0.45
lgbtq+,True,figurative,"I stand between the shadow and the light.  
The world pretends it cannot see the glow.  

The world pretends it cannot see the glow—  
A fire burns where silence used to grow.  

A fire burns where silence used to grow,  
Its heat a hymn, its ash a buried name.  

Its heat a hymn, its ash a buried name—  
Each spark a story, whispered into flame.  

Each spark a story, whispered into flame,  
The voice that rises never sounds the same.  

The voice that rises never sounds the same  
But still it sings, unbroken by the shame.  

But still it sings, unbroken by the shame,  
I stand between the shadow and the light.  ","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  4  4  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 14  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.27,0.48,0.32,0.3,0.37,0.35
lgbtq+,True,specific,"A rainbow shimmered on the cracked asphalt,  
Its colors blurred by last night’s heavy rain.  

Its colors blurred by last night’s heavy rain—  
A fleeting flag beneath the city’s weight.  

A fleeting flag beneath the city’s weight,  
It carried every name we’d whispered quiet.  

It carried every name we’d whispered quiet,  
The kinds of love we’d learned to keep in shadows.  

The kinds of love we’d learned to keep in shadows  
Gleamed bold when sunlight broke the smoky sky.  

Gleamed bold when sunlight broke the smoky sky,  
But faded fast as footsteps crossed its span.  

But faded fast as footsteps crossed its span—  
A truth we knew but pretended would still linger.  

A rainbow shimmered on the cracked asphalt.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 4 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 2 0 0 0
 0 0 0 0 0]",0.32,0.43,0.33,0.42,0.4,0.38
living,True,general,"To live is to carry the weight of the day,  
This weight is softer than it first appears.  

This weight is softer than it first appears,  
A stone becomes silk in the hands of time.  

A stone becomes silk in the hands of time,  
Yet hours still carve rivers into your face.  

Yet hours still carve rivers into your face,  
The body holds its grief like hidden wine.  

The body holds its grief like hidden wine,  
Each sip reveals the sharpness of the sweet.  

Each sip reveals the sharpness of the sweet,  
The joy you taste will cut you when you breathe.  

The joy you taste will cut you when you breathe,  
And yet, we crave the weight of every day.  

To live is to carry the weight of the day.  ","[ 0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  4  0  2  2  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0 15  0  0  0  0  0  4  0  0  0  0  0
  0  0  0  0  0  0  0  0  1  0  0  0  0  2  0  0  0  0  6  0  2  0]",0.32,0.63,0.44,0.45,0.45,0.46
living,True,figurative,"The sky is heavy, bruised beneath its light.  
A weight I carry, though it hides from sight.  

A weight I carry, though it hides from sight,  
Becomes the silence pressing through the night.  

Becomes the silence pressing through the night—  
A voice that never speaks but knows it’s right.  

A voice that never speaks but knows it’s right,  
For every shadow lengthens in its flight.  

For every shadow lengthens in its flight,  
And still, the ground swallows the edge of might.  

And still, the ground swallows the edge of might,  
Where roots refuse to rise against their blight.  

Where roots refuse to rise against their blight,  
The sky is heavy, bruised beneath its light.  ","[ 0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  2  0  4  4  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 10  0  0  0  2  2  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.32,0.56,0.37,0.36,0.41,0.4
living,True,specific,"The rain begins, a hush that softens the day.  
A whisper like the comfort of quiet hands.  

A whisper like the comfort of quiet hands,  
It taps the glass, a rhythm bound to calm.  

It taps the glass, a rhythm bound to calm,  
Though shadows stretch long across the room.  

Though shadows stretch long across the room,  
The warmth of breath clouds the chill of the pane.  

The warmth of breath clouds the chill of the pane,  
Drawing faint shapes that vanish with time.  

Drawing faint shapes that vanish with time,  
The rain persists, steady, resolute, slow.  

The rain persists, steady, resolute, slow—  
The sound of it fills the space love once held.  

The sound of it fills the space love once held,  
The rain begins, a hush that softens the day.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  2  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  8  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  4 22  0  0  0  2  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0]",0.32,0.59,0.41,0.35,0.45,0.42
love,True,general,"I hold her name like water in my hands.  
The weight of love, it slips through brittle palms.  

The weight of love, it slips through brittle palms—  
A flood that drowns but also keeps me whole.  

A flood that drowns but also keeps me whole,  
Its tide runs deeper than my walled-off heart.  

Its tide runs deeper than my walled-off heart;  
I dream of safety, holding her in storms.  

I dream of safety, holding her in storms,  
Yet fear the wreckage soft devotion brings.  

Yet fear the wreckage soft devotion brings,  
And know her voice rebuilds what love undoes.  

I hold her name like water in my hands.  ","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 2 2 1 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 2 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0]",0.48,0.53,0.47,0.48,0.52,0.5
